00:53:59, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:54:35, 00:23:D4:6A:B9:0F, 192.168.1.8, true
00:54:35, 00:23:D4:6A:B9:0F, GARBAGE IP, true
00:55:51, 00:23:D4:6A:B9:0F, GARBAGE, true
01:04:58, 00:23:D4:6A:B9:0F, GARBAGE, true
01:13:34, 00:23:D4:6A:B9:0F, GARBAGE, true
01:23:01, 00:23:D4:6A:B9:0F, GARBAGE, true
01:27:45, 00:23:D4:6A:B9:0F, GARBAGE, true
01:32:35, 00:23:D4:6A:B9:0F, GARBAGE, true
01:36:17, 00:23:D4:6A:B9:0F, 192.168.1.11, true
01:36:17, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:36:17, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:36:59, 00:23:D4:6A:B9:0F, 192.168.1.11, true
01:36:59, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:36:59, 00:23:D4:6A:B9:0F, GARBAGE IP, true
01:41:46, 00:23:D4:6A:B9:0F, GARBAGE, true
01:44:10, 00:23:D4:6A:B9:0F, GARBAGE, true
01:48:29, 00:23:D4:6A:B9:0F, GARBAGE, true
