23:41:07, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4197
03:58:58, 22:17:51, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3879
04:00:28, 22:19:21, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3874
04:08:27, 22:27:20, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3895
04:09:27, 22:28:20, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3858
04:10:57, 22:29:50, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3856
04:12:27, 22:31:20, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3833
04:20:27, 22:39:20, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3879
04:21:27, 22:40:20, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3844
04:27:26, 22:46:19, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3858
04:28:56, 22:47:49, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3862
04:31:26, 22:50:19, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3845
04:31:56, 22:50:49, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3817
04:33:26, 22:52:19, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3814
04:34:56, 22:53:49, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3809
04:45:25, 23:04:18, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3822
04:47:25, 23:06:18, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3822
04:47:55, 23:06:48, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3814
04:49:25, 23:08:18, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3784
04:50:55, 23:09:48, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3773
04:52:25, 23:11:18, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3775
04:53:55, 23:12:48, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3771
04:55:24, 23:14:18, Battery: level = 45, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3770
04:56:54, 23:15:48, Battery: level = 44, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3763
04:58:24, 23:17:17, Battery: level = 43, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3768
04:59:54, 23:18:47, Battery: level = 42, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3762
05:01:24, 23:20:17, Battery: level = 41, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3761
05:02:54, 23:21:47, Battery: level = 40, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3761
05:04:24, 23:23:17, Battery: level = 39, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3762
05:05:54, 23:24:47, Battery: level = 38, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3753
05:07:24, 23:26:17, Battery: level = 37, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3749
05:08:54, 23:27:47, Battery: level = 36, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3750
05:17:53, 23:36:46, Battery: level = 35, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3742
05:19:23, 23:38:16, Battery: level = 34, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3742
05:20:53, 23:39:46, Battery: level = 33, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3740
05:22:23, 23:41:16, Battery: level = 32, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3740
05:23:53, 23:42:46, Battery: level = 31, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3740
05:25:23, 23:44:16, Battery: level = 30, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3734
05:34:22, 23:53:15, Battery: level = 29, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3733
05:35:53, 23:54:46, Battery: level = 28, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3733
05:37:22, 23:56:15, Battery: level = 27, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3724
05:48:51, 00:07:45, Battery: level = 26, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3745
05:50:21, 00:09:14, Battery: level = 25, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3708
05:51:51, 00:10:44, Battery: level = 24, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3707
06:02:21, 00:21:14, Battery: level = 23, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3698
06:03:50, 00:22:44, Battery: level = 22, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3690
06:14:20, 00:33:13, Battery: level = 21, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3693
06:15:50, 00:34:43, Battery: level = 20, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3685
06:17:20, 00:36:13, Battery: level = 19, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3689
06:18:50, 00:37:43, Battery: level = 18, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3690
06:20:20, 00:39:13, Battery: level = 17, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3688
06:21:49, 00:40:43, Battery: level = 16, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3678
06:23:19, 00:42:12, Battery: level = 15, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3684
06:24:49, 00:43:42, Battery: level = 14, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3682
06:35:19, 00:54:12, Battery: level = 13, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3675
06:36:49, 00:55:42, Battery: level = 12, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3673
06:38:18, 00:57:12, Battery: level = 11, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3670
06:39:48, 00:58:42, Battery: level = 10, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3670
06:41:18, 01:00:11, Battery: level = 9, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3666
06:42:48, 01:01:41, Battery: level = 8, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3664
06:45:48, 01:04:41, Battery: level = 7, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3659
06:47:18, 01:06:11, Battery: level = 6, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3657
06:52:18, 01:11:11, Battery: level = 5, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3680
06:53:48, 01:12:41, Battery: level = 4, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3651
06:57:47, 01:16:40, Battery: level = 3, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3632
06:59:17, 01:18:10, Battery: level = 2, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3637
08:02:44, 02:21:37, Battery: level = 1, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3593
08:09:30, 02:28:23, Battery: level = 1, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3565
08:09:31, 02:28:25, Battery: level = 1, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3652
