00:34:44, 18:00:00, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4057
05:49:34, 23:14:50, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3911
05:51:04, 23:16:20, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3913
05:53:04, 23:18:20, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3900
06:11:03, 23:36:19, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3902
06:28:32, 23:53:48, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3886
06:47:01, 00:12:17, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3887
06:49:01, 00:14:17, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3883
07:05:00, 00:30:16, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3881
07:07:00, 00:32:16, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3870
07:15:59, 00:41:15, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3859
07:17:59, 00:43:15, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3863
07:19:29, 00:44:45, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3855
08:03:56, 01:29:12, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3836
08:31:25, 01:56:41, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3835
08:41:54, 02:07:10, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3822
08:43:24, 02:08:40, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3814
08:44:54, 02:10:10, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3851
09:07:23, 02:32:39, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3814
09:08:53, 02:34:09, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3793
09:14:52, 02:40:08, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3818
09:20:52, 02:46:08, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3812
09:21:52, 02:47:08, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3771
09:22:52, 02:48:08, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3766
09:24:22, 02:49:38, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3763
09:47:20, 03:12:36, Battery: level = 45, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3785
09:53:50, 03:19:06, Battery: level = 44, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3784
09:55:20, 03:20:36, Battery: level = 43, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3768
10:27:48, 03:53:04, Battery: level = 42, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3779
10:29:18, 03:54:34, Battery: level = 41, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3775
10:37:18, 04:02:33, Battery: level = 40, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3773
11:05:46, 04:31:02, Battery: level = 39, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3762
11:19:45, 04:45:01, Battery: level = 38, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3750
11:47:43, 05:12:59, Battery: level = 37, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3748
12:05:12, 05:30:28, Battery: level = 36, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3750
12:07:12, 05:32:28, Battery: level = 35, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3744
12:13:42, 05:38:58, Battery: level = 34, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3747
12:15:42, 05:40:58, Battery: level = 33, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3730
12:17:42, 05:42:57, Battery: level = 32, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3739
12:33:11, 05:58:26, Battery: level = 31, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3736
12:40:10, 06:05:26, Battery: level = 30, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3744
12:42:10, 06:07:26, Battery: level = 29, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3733
13:18:52, 06:44:08, Battery: level = 29, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3762
13:18:53, 06:44:08, Battery: level = 29, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3762
