Device or resource busy DEVICE:08 [4 Mar 2011 10:38:12 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:38:12 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 10:43:15 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:43:16 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:48:21 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 10:48:22 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:53:27 GMT]
Service discovery failed DEVICE:08 [4 Mar 2011 10:53:33 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 10:58:38 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 10:58:39 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:03:44 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 11:03:45 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:08:51 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 11:08:53 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 11:08:55 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:13:57 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:19:01 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:24:04 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 11:24:05 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:29:09 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:34:14 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:39:19 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 11:39:20 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:44:23 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:49:27 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:54:29 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 11:54:30 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 11:59:35 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:04:39 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 12:09:44 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:09:45 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:14:47 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 12:19:53 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:19:53 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:24:59 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 12:24:59 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:30:04 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:35:08 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:40:13 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 12:40:15 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:45:19 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 12:45:19 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:50:25 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 12:55:29 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 13:00:35 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 13:05:42 GMT]
Device or resource busy DEVICE:09 [4 Mar 2011 13:10:46 GMT]
qwerty cancled election initiation [6 Mar 2011 03:43:00 GMT]
ty cancled election initiation [6 Mar 2011 03:57:25 GMT]
qwerty cancled election initiation [6 Mar 2011 04:04:26 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 04:41:25 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 05:14:00 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 05:46:08 GMT]
HTC Dream cancled election initiation [6 Mar 2011 05:46:08 GMT]
Service discovery failed DEVICE:HTC Dream [6 Mar 2011 06:18:19 GMT]
qwerty cancled election initiation [6 Mar 2011 06:37:31 GMT]
Host is down DEVICE:ty [6 Mar 2011 07:28:14 GMT]
Service discovery failed DEVICE:HTC Dream [6 Mar 2011 08:00:41 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 08:12:03 GMT]
Service discovery failed DEVICE:HTC Dream [6 Mar 2011 08:18:57 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 09:07:26 GMT]
Service discovery failed DEVICE:HTC Dream [6 Mar 2011 09:07:31 GMT]
HTC Dream cancled election initiation [6 Mar 2011 09:18:51 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 09:58:08 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 10:34:56 GMT]
Service discovery failed DEVICE:qwerty [6 Mar 2011 11:39:15 GMT]
