00:06:09, 00:23:D4:68:E1:E9, 192.168.1.12, true
00:06:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:06:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:06:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:06:09, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:07:36, 00:23:D4:68:E1:E9, GARBAGE, true
00:12:29, 00:23:D4:68:E1:E9, GARBAGE, true
00:17:59, 00:23:D4:68:E1:E9, GARBAGE, true
00:27:02, 00:23:D4:68:E1:E9, 192.168.1.2, true
00:27:02, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:29:15, 00:23:D4:68:E1:E9, GARBAGE, true
00:31:34, 00:23:D4:68:E1:E9, 192.168.1.12, true
00:31:34, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:31:34, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:31:34, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:31:34, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:38:38, 00:23:D4:68:E1:E9, GARBAGE, true
01:00:24, 00:23:D4:68:E1:E9, 192.168.1.4, true
01:00:24, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:00:24, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:15:56, 00:23:D4:68:E1:E9, 192.168.1.2, true
01:15:56, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:15:56, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:15:56, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:22:55, 00:23:D4:68:E1:E9, GARBAGE, true
01:32:41, 00:23:D4:68:E1:E9, 192.168.1.2, true
01:34:11, 00:23:D4:68:E1:E9, GARBAGE, true
01:38:46, 00:23:D4:68:E1:E9, 192.168.1.10, true
01:38:46, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:38:46, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:38:46, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:38:46, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:38:48, 00:23:D4:68:E1:E9, 192.168.1.6, true
01:38:48, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:38:49, 00:23:D4:68:E1:E9, GARBAGE IP, true
