00:38:02, 00:23:D4:6A:BB:92, GARBAGE, true
00:54:09, 00:23:D4:6A:BB:92, GARBAGE, true
01:01:04, 00:23:D4:6A:BB:92, 192.168.1.2, true
01:03:43, 00:23:D4:6A:BB:92, 192.168.1.11, true
01:03:43, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:03:43, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:03:43, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:05:45, 00:23:D4:6A:BB:92, GARBAGE, true
01:06:31, 00:23:D4:6A:BB:92, 192.168.1.10, true
01:06:31, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:06:32, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:06:32, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:06:32, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:07:13, 00:23:D4:6A:BB:92, 192.168.1.10, true
01:07:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:07:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:07:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:07:13, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:10:26, 00:23:D4:6A:BB:92, GARBAGE, true
01:22:15, 00:23:D4:6A:BB:92, GARBAGE, true
01:33:31, 00:23:D4:6A:BB:92, GARBAGE, true
01:34:46, 00:23:D4:6A:BB:92, 192.168.1.3, true
01:34:46, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:34:46, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:34:46, 00:23:D4:6A:BB:92, GARBAGE IP, true
01:49:10, 00:23:D4:6A:BB:92, GARBAGE, true
02:00:27, 00:23:D4:6A:BB:92, GARBAGE, true
02:04:05, 00:23:D4:6A:BB:92, 192.168.1.12, true
02:04:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:04:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:04:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:04:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:11:44, 00:23:D4:6A:BB:92, GARBAGE, true
02:12:24, 00:23:D4:6A:BB:92, 192.168.1.9, true
02:12:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:12:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:12:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:13:06, 00:23:D4:6A:BB:92, 192.168.1.9, true
02:13:06, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:13:06, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:13:06, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:27:35, 00:23:D4:6A:BB:92, GARBAGE, true
02:28:17, 00:23:D4:6A:BB:92, 192.168.1.12, true
02:28:18, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:28:18, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:28:18, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:28:59, 00:23:D4:6A:BB:92, 192.168.1.12, true
02:28:59, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:28:59, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:28:59, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:29:41, 00:23:D4:6A:BB:92, 192.168.1.12, true
02:29:42, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:29:42, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:29:42, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:30:23, 00:23:D4:6A:BB:92, 192.168.1.12, true
02:30:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:30:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:30:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:31:05, 00:23:D4:6A:BB:92, 192.168.1.12, true
02:31:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:31:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:31:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:31:59, 00:23:D4:6A:BB:92, GARBAGE, true
02:34:18, 00:23:D4:6A:BB:92, 192.168.1.5, true
02:34:18, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:35:23, 00:23:D4:6A:BB:92, GARBAGE, true
02:41:37, 00:23:D4:6A:BB:92, 192.168.1.3, true
02:41:37, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:41:37, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:42:19, 00:23:D4:6A:BB:92, 192.168.1.3, true
02:42:19, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:42:19, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:43:01, 00:23:D4:6A:BB:92, 192.168.1.3, true
02:43:01, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:43:01, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:43:09, 00:23:D4:6A:BB:92, GARBAGE, true
02:43:43, 00:23:D4:6A:BB:92, 192.168.1.3, true
02:43:43, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:43:43, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:52:34, 00:23:D4:6A:BB:92, GARBAGE, true
02:53:07, 00:23:D4:6A:BB:92, 192.168.1.3, true
02:53:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:53:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:53:49, 00:23:D4:6A:BB:92, 192.168.1.3, true
02:53:49, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:53:49, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:01:44, 00:23:D4:6A:BB:92, GARBAGE, true
03:09:35, 00:23:D4:6A:BB:92, GARBAGE, true
03:18:45, 00:23:D4:6A:BB:92, GARBAGE, true
03:27:55, 00:23:D4:6A:BB:92, GARBAGE, true
