00:20:22, 00:23:D4:6A:A4:E2, GARBAGE, true
00:30:19, 00:23:D4:6A:A4:E2, GARBAGE, true
00:31:39, 00:23:D4:6A:A4:E2, GARBAGE, true
00:41:01, 00:23:D4:6A:A4:E2, GARBAGE, true
00:50:58, 00:23:D4:6A:A4:E2, GARBAGE, true
00:52:20, 00:23:D4:6A:A4:E2, GARBAGE, true
00:52:25, 00:23:D4:6A:A4:E2, GARBAGE, true
00:53:13, 00:23:D4:6A:A4:E2, 192.168.1.10, true
00:53:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:53:14, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:53:14, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:53:14, 00:23:D4:6A:A4:E2, GARBAGE IP, true
00:53:30, 00:23:D4:6A:A4:E2, GARBAGE, true
00:57:13, 00:23:D4:6A:A4:E2, GARBAGE, true
00:57:32, 00:23:D4:6A:A4:E2, GARBAGE, true
01:04:13, 00:23:D4:6A:A4:E2, 192.168.1.4, true
01:04:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:04:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:05:55, 00:23:D4:6A:A4:E2, GARBAGE, true
01:08:48, 00:23:D4:6A:A4:E2, GARBAGE, true
01:09:04, 00:23:D4:6A:A4:E2, GARBAGE, true
01:13:18, 00:23:D4:6A:A4:E2, 192.168.1.3, true
01:13:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:13:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:13:30, 00:23:D4:6A:A4:E2, GARBAGE, true
01:14:02, 00:23:D4:6A:A4:E2, GARBAGE, true
01:23:24, 00:23:D4:6A:A4:E2, GARBAGE, true
01:25:17, 00:23:D4:6A:A4:E2, GARBAGE, true
01:29:18, 00:23:D4:6A:A4:E2, 192.168.1.12, true
01:29:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:29:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:29:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
01:35:10, 00:23:D4:6A:A4:E2, GARBAGE, true
01:36:34, 00:23:D4:6A:A4:E2, GARBAGE, true
01:41:23, 00:23:D4:6A:A4:E2, GARBAGE, true
01:47:41, 00:23:D4:6A:A4:E2, GARBAGE, true
01:52:13, 00:23:D4:6A:A4:E2, GARBAGE, true
02:02:08, 00:23:D4:6A:A4:E2, GARBAGE, true
02:03:30, 00:23:D4:6A:A4:E2, GARBAGE, true
02:03:30, 00:23:D4:6A:A4:E2, GARBAGE, true
02:13:24, 00:23:D4:6A:A4:E2, GARBAGE, true
02:14:46, 00:23:D4:6A:A4:E2, GARBAGE, true
