04:43:15, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:44:10, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:44:10, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:44:11, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:45:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:45:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:45:59, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:46:51, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:51:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:51:13, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
04:52:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
04:52:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
04:54:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
04:54:13, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
04:54:58, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:01:49, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:02:36, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:08:25, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:10:03, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:10:05, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
05:10:05, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
05:10:23, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:11:46, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:12:17, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:12:17, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:12:17, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:12:17, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:17:01, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
05:17:01, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
05:19:10, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:19:34, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:19:34, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:19:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:19:56, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:21:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:21:04, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:29:44, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:29:44, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:29:45, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:29:45, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:30:12, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:30:57, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:30:57, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:31:27, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:31:27, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:38:19, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:38:19, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:38:19, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:41:24, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:46:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:46:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:47:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:47:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:49:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:49:12, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:49:27, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:49:47, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:50:23, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:57:24, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
05:57:24, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
05:58:21, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
06:04:51, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
06:05:23, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
06:05:23, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
