04:47:24, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:54:11, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:54:11, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:55:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
04:55:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
04:55:04, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:55:04, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:55:18, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:55:54, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:55:56, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:55:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:56:35, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:56:51, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
04:56:52, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
04:56:52, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
04:57:38, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
04:57:38, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
05:02:51, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:03:32, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:03:41, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:03:41, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:04:33, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:04:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:04:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
05:04:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
05:05:10, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:05:24, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:05:24, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:06:11, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
05:06:11, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
05:06:15, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
05:06:15, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
05:06:52, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:13:02, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:13:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:13:54, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
05:13:54, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
05:13:55, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:13:55, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:14:40, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:19:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
05:19:56, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
05:20:46, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:20:50, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:20:50, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:21:02, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
05:21:03, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
05:21:42, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:21:42, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:22:33, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:22:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:23:22, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
05:23:22, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, wifi_network, false, fresh
05:23:24, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
05:23:24, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
05:24:06, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:28:32, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:28:32, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:28:34, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
05:29:24, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:29:24, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:29:47, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
05:29:47, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
05:30:39, 00:23:D4:6A:B6:B9, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
05:30:39, 00:23:D4:6A:B6:B9, 00:23:D4:6A:87:DE, wifi_network, false, fresh
05:31:07, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
05:31:07, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, wifi_network, false, fresh
05:31:58, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
05:31:58, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, wifi_network, false, fresh
05:38:13, 00:23:D4:6A:B6:B9, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
