13:30:39, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:30:39, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:31:04, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:31:04, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:32:50, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:32:50, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:33:31, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:33:31, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:34:22, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:34:22, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
13:35:23, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:35:23, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:35:30, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:35:30, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:38:37, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:38:37, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:38:39, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:38:39, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:40:22, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:40:22, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:40:46, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:40:46, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:42:09, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:42:09, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:42:12, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:42:12, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:42:17, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:42:17, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:43:04, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:43:04, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:43:05, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:43:05, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:43:32, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:43:32, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:43:36, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:43:36, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
13:43:56, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:43:56, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:44:20, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:44:20, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:45:24, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
13:45:24, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
13:45:28, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
13:45:28, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
13:45:35, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:45:35, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:46:07, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:46:07, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:46:10, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
13:46:10, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
13:46:29, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
13:46:29, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
13:46:54, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:46:54, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:48:10, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:48:10, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:48:12, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:48:12, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:48:27, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:48:27, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:49:29, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
13:49:29, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
13:49:29, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
13:49:29, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
13:49:53, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
13:49:53, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
13:51:12, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
13:51:12, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
13:52:34, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
13:52:34, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
13:54:06, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
13:54:06, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
13:54:07, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
13:54:07, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
