04:28:54, 00:23:D4:6A:87:DE, GARBAGE, true
04:32:45, 00:23:D4:6A:87:DE, 192.168.1.12, true
04:32:45, 00:23:D4:6A:87:DE, GARBAGE IP, true
04:34:11, 00:23:D4:6A:87:DE, 192.168.1.5, true
04:38:17, 00:23:D4:6A:87:DE, GARBAGE, true
04:42:55, 00:23:D4:6A:87:DE, GARBAGE, true
04:45:18, 00:23:D4:6A:87:DE, 192.168.1.6, true
04:45:18, 00:23:D4:6A:87:DE, GARBAGE IP, true
04:45:57, 00:23:D4:6A:87:DE, 192.168.1.5, true
04:45:57, 00:23:D4:6A:87:DE, GARBAGE IP, true
04:45:57, 00:23:D4:6A:87:DE, GARBAGE IP, true
04:52:11, 00:23:D4:6A:87:DE, GARBAGE, true
04:56:47, 00:23:D4:6A:87:DE, GARBAGE, true
05:01:55, 00:23:D4:6A:87:DE, 192.168.1.2, true
05:01:55, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:06:02, 00:23:D4:6A:87:DE, GARBAGE, true
05:15:21, 00:23:D4:6A:87:DE, GARBAGE, true
05:18:19, 00:23:D4:6A:87:DE, 192.168.1.8, true
05:18:19, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:18:19, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:24:34, 00:23:D4:6A:87:DE, GARBAGE, true
05:33:44, 00:23:D4:6A:87:DE, GARBAGE, true
05:38:22, 00:23:D4:6A:87:DE, GARBAGE, true
05:42:05, 00:23:D4:6A:87:DE, 192.168.1.5, true
05:42:05, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:42:48, 00:23:D4:6A:87:DE, 192.168.1.5, true
05:42:48, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:43:26, 00:23:D4:6A:87:DE, 192.168.1.3, true
05:43:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:43:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
05:43:26, 00:23:D4:6A:87:DE, GARBAGE IP, true
