08:24:53, 00:23:D4:6A:22:09, GARBAGE, true
08:29:22, 00:23:D4:6A:22:09, GARBAGE, true
08:33:54, 00:23:D4:6A:22:09, GARBAGE, true
08:37:04, 00:23:D4:6A:22:09, GARBAGE, true
08:53:32, 00:23:D4:6A:22:09, GARBAGE, true
08:56:28, 00:23:D4:6A:22:09, 192.168.1.9, true
08:56:28, 00:23:D4:6A:22:09, GARBAGE IP, true
08:56:28, 00:23:D4:6A:22:09, GARBAGE IP, true
08:56:28, 00:23:D4:6A:22:09, GARBAGE IP, true
08:56:28, 00:23:D4:6A:22:09, GARBAGE IP, true
08:56:28, 00:23:D4:6A:22:09, GARBAGE IP, true
08:58:03, 00:23:D4:6A:22:09, 192.168.1.6, true
08:58:03, 00:23:D4:6A:22:09, GARBAGE IP, true
08:58:03, 00:23:D4:6A:22:09, GARBAGE IP, true
08:58:03, 00:23:D4:6A:22:09, GARBAGE IP, true
08:58:03, 00:23:D4:6A:22:09, GARBAGE IP, true
08:58:03, 00:23:D4:6A:22:09, GARBAGE IP, true
08:58:10, 00:23:D4:6A:22:09, GARBAGE, true
09:02:44, 00:23:D4:6A:22:09, GARBAGE, true
09:07:33, 00:23:D4:6A:22:09, GARBAGE, true
09:08:01, 00:23:D4:6A:22:09, GARBAGE, true
09:13:23, 00:23:D4:6A:22:09, GARBAGE, true
09:28:47, 00:23:D4:6A:22:09, GARBAGE, true
09:31:53, 00:23:D4:6A:22:09, GARBAGE, true
09:36:38, 00:23:D4:6A:22:09, GARBAGE, true
09:38:24, 00:23:D4:6A:22:09, 192.168.1.8, true
09:38:24, 00:23:D4:6A:22:09, GARBAGE IP, true
09:38:25, 00:23:D4:6A:22:09, GARBAGE IP, true
09:38:25, 00:23:D4:6A:22:09, GARBAGE IP, true
09:38:25, 00:23:D4:6A:22:09, GARBAGE IP, true
09:38:25, 00:23:D4:6A:22:09, GARBAGE IP, true
09:46:29, 00:23:D4:6A:22:09, GARBAGE, true
09:47:56, 00:23:D4:6A:22:09, GARBAGE, true
09:48:12, 00:23:D4:6A:22:09, GARBAGE, true
09:48:21, 00:23:D4:6A:22:09, 192.168.1.8, true
09:48:21, 00:23:D4:6A:22:09, GARBAGE IP, true
09:48:22, 00:23:D4:6A:22:09, GARBAGE IP, true
09:48:22, 00:23:D4:6A:22:09, GARBAGE IP, true
09:48:23, 00:23:D4:6A:22:09, GARBAGE IP, true
09:48:23, 00:23:D4:6A:22:09, GARBAGE IP, true
09:52:37, 00:23:D4:6A:22:09, GARBAGE, true
09:57:16, 00:23:D4:6A:22:09, GARBAGE, true
10:00:15, 00:23:D4:6A:22:09, GARBAGE, true
10:03:56, 00:23:D4:6A:22:09, GARBAGE, true
10:04:48, 00:23:D4:6A:22:09, GARBAGE, true
10:11:33, 00:23:D4:6A:22:09, GARBAGE, true
10:21:12, 00:23:D4:6A:22:09, GARBAGE, true
10:25:51, 00:23:D4:6A:22:09, GARBAGE, true
10:28:04, 00:23:D4:6A:22:09, GARBAGE, true
10:28:58, 00:23:D4:6A:22:09, GARBAGE, true
10:33:34, 00:23:D4:6A:22:09, GARBAGE, true
10:36:22, 00:23:D4:6A:22:09, 192.168.1.4, true
10:36:22, 00:23:D4:6A:22:09, GARBAGE IP, true
10:36:22, 00:23:D4:6A:22:09, GARBAGE IP, true
10:36:22, 00:23:D4:6A:22:09, GARBAGE IP, true
10:36:22, 00:23:D4:6A:22:09, GARBAGE IP, true
10:36:22, 00:23:D4:6A:22:09, GARBAGE IP, true
10:43:29, 00:23:D4:6A:22:09, GARBAGE, true
10:54:39, 00:23:D4:6A:22:09, 192.168.1.8, true
10:54:39, 00:23:D4:6A:22:09, GARBAGE IP, true
10:54:39, 00:23:D4:6A:22:09, GARBAGE IP, true
10:54:40, 00:23:D4:6A:22:09, GARBAGE IP, true
10:54:40, 00:23:D4:6A:22:09, GARBAGE IP, true
10:54:40, 00:23:D4:6A:22:09, GARBAGE IP, true
10:59:13, 00:23:D4:6A:22:09, GARBAGE, true
11:03:42, 00:23:D4:6A:22:09, GARBAGE, true
11:06:48, 00:23:D4:6A:22:09, GARBAGE, true
11:15:43, 00:23:D4:6A:22:09, 192.168.1.8, true
11:15:43, 00:23:D4:6A:22:09, GARBAGE IP, true
11:15:43, 00:23:D4:6A:22:09, GARBAGE IP, true
11:15:43, 00:23:D4:6A:22:09, GARBAGE IP, true
11:15:44, 00:23:D4:6A:22:09, GARBAGE IP, true
11:15:45, 00:23:D4:6A:22:09, GARBAGE IP, true
11:16:08, 00:23:D4:6A:22:09, GARBAGE, true
11:18:27, 00:23:D4:6A:22:09, GARBAGE, true
11:24:10, 00:23:D4:6A:22:09, GARBAGE, true
11:28:48, 00:23:D4:6A:22:09, GARBAGE, true
11:31:55, 00:23:D4:6A:22:09, GARBAGE, true
11:36:00, 00:23:D4:6A:22:09, GARBAGE, true
11:39:25, 00:23:D4:6A:22:09, GARBAGE, true
11:41:53, 00:23:D4:6A:22:09, 192.168.1.6, true
11:41:53, 00:23:D4:6A:22:09, GARBAGE IP, true
11:41:53, 00:23:D4:6A:22:09, GARBAGE IP, true
11:41:53, 00:23:D4:6A:22:09, GARBAGE IP, true
11:41:53, 00:23:D4:6A:22:09, GARBAGE IP, true
11:43:48, 00:23:D4:6A:22:09, GARBAGE, true
11:48:23, 00:23:D4:6A:22:09, GARBAGE, true
11:53:10, 00:23:D4:6A:22:09, GARBAGE, true
11:54:56, 00:23:D4:6A:22:09, 192.168.1.8, true
11:54:56, 00:23:D4:6A:22:09, GARBAGE IP, true
11:54:56, 00:23:D4:6A:22:09, GARBAGE IP, true
11:54:56, 00:23:D4:6A:22:09, GARBAGE IP, true
11:54:56, 00:23:D4:6A:22:09, GARBAGE IP, true
11:54:57, 00:23:D4:6A:22:09, GARBAGE IP, true
12:03:03, 00:23:D4:6A:22:09, GARBAGE, true
12:05:35, 00:23:D4:6A:22:09, 192.168.1.6, true
12:05:35, 00:23:D4:6A:22:09, GARBAGE IP, true
12:05:35, 00:23:D4:6A:22:09, GARBAGE IP, true
12:05:35, 00:23:D4:6A:22:09, GARBAGE IP, true
12:05:35, 00:23:D4:6A:22:09, GARBAGE IP, true
12:07:41, 00:23:D4:6A:22:09, GARBAGE, true
12:12:27, 00:23:D4:6A:22:09, GARBAGE, true
12:17:07, 00:23:D4:6A:22:09, GARBAGE, true
12:21:57, 00:23:D4:6A:22:09, GARBAGE, true
12:26:18, 00:23:D4:6A:22:09, GARBAGE, true
12:28:13, 00:23:D4:6A:22:09, 192.168.1.8, true
12:28:13, 00:23:D4:6A:22:09, GARBAGE IP, true
12:28:14, 00:23:D4:6A:22:09, GARBAGE IP, true
12:28:14, 00:23:D4:6A:22:09, GARBAGE IP, true
12:28:14, 00:23:D4:6A:22:09, GARBAGE IP, true
12:33:18, 00:23:D4:6A:22:09, GARBAGE, true
12:40:49, 00:23:D4:6A:22:09, GARBAGE, true
12:48:06, 00:23:D4:6A:22:09, GARBAGE, true
12:52:31, 00:23:D4:6A:22:09, GARBAGE, true
12:54:48, 00:23:D4:6A:22:09, GARBAGE, true
12:55:48, 00:23:D4:6A:22:09, GARBAGE, true
13:00:16, 00:23:D4:6A:22:09, GARBAGE, true
13:05:55, 00:23:D4:6A:22:09, GARBAGE, true
13:09:11, 00:23:D4:6A:22:09, GARBAGE, true
13:13:33, 00:23:D4:6A:22:09, GARBAGE, true
13:20:34, 00:23:D4:6A:22:09, GARBAGE, true
13:23:49, 00:23:D4:6A:22:09, GARBAGE, true
13:25:24, 00:23:D4:6A:22:09, 192.168.1.8, true
13:25:25, 00:23:D4:6A:22:09, GARBAGE IP, true
13:25:25, 00:23:D4:6A:22:09, GARBAGE IP, true
13:25:25, 00:23:D4:6A:22:09, GARBAGE IP, true
13:25:25, 00:23:D4:6A:22:09, GARBAGE IP, true
13:31:16, 00:23:D4:6A:22:09, GARBAGE, true
13:33:38, 00:23:D4:6A:22:09, 192.168.1.10, true
13:33:38, 00:23:D4:6A:22:09, GARBAGE IP, true
13:33:38, 00:23:D4:6A:22:09, GARBAGE IP, true
13:33:38, 00:23:D4:6A:22:09, GARBAGE IP, true
13:33:38, 00:23:D4:6A:22:09, GARBAGE IP, true
13:35:05, 00:23:D4:6A:22:09, GARBAGE, true
13:38:26, 00:23:D4:6A:22:09, GARBAGE, true
13:43:10, 00:23:D4:6A:22:09, GARBAGE, true
13:44:43, 00:23:D4:6A:22:09, 192.168.1.8, true
13:44:43, 00:23:D4:6A:22:09, GARBAGE IP, true
13:44:43, 00:23:D4:6A:22:09, GARBAGE IP, true
13:44:43, 00:23:D4:6A:22:09, GARBAGE IP, true
13:44:44, 00:23:D4:6A:22:09, GARBAGE IP, true
13:48:33, 00:23:D4:6A:22:09, GARBAGE, true
13:52:38, 00:23:D4:6A:22:09, GARBAGE, true
13:57:15, 00:23:D4:6A:22:09, GARBAGE, true
13:59:56, 00:23:D4:6A:22:09, GARBAGE, true
14:04:27, 00:23:D4:6A:22:09, GARBAGE, true
14:09:09, 00:23:D4:6A:22:09, GARBAGE, true
14:12:25, 00:23:D4:6A:22:09, GARBAGE, true
14:16:40, 00:23:D4:6A:22:09, GARBAGE, true
14:17:01, 00:23:D4:6A:22:09, GARBAGE, true
Current Time, My address, Neighbor address, Neighbor IP, Network type, Direct, New, Size
18:52:36 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
Current Time, My address, Neighbor address, Neighbor IP, Network type, Direct, New, Size
18:56:21 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
Current Time, My address, Neighbor address, Neighbor IP, Network type, Direct, New, Size
18:58:00 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:00:13, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, 192.168.1.12, bluetooth_network, false, fresh, 1
19:00:14, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, GARBAGE IP, wifi_network, true, fresh, 2
19:00:14, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE IP, wifi_network, true, fresh, 3
Current Time, My address, Neighbor address, Neighbor IP, Network type, Direct, New, Size
19:03:10 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
Current Time, My address, Neighbor address, Neighbor IP, Network type, Direct, New, Size
19:06:27 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:06:51, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, 192.168.1.2, bluetooth_network, false, fresh, 1
19:06:51, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, GARBAGE IP, wifi_network, true, fresh, 2
19:06:51, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE IP, wifi_network, true, fresh, 3
19:16:52, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, 192.168.1.2, bluetooth_network, false, fresh, 3
19:16:52, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE IP, wifi_network, true, old, 3
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:23:02 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:29:01 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:47:22 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:47:44, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, phone, 192.168.1.2, wifi_network, true, fresh, 1
19:47:44, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, true, fresh, 2
19:47:44, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, fresh, 3
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
19:55:04 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
19:55:15, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, phone, 192.168.1.2, wifi_network, true, fresh, 1
19:55:15, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, fresh, 2
19:55:15, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, true, fresh, 3
19:55:20, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, phone, 192.168.1.2, wifi_network, true, old, 3
19:55:20, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:55:20, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:55:49, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, phone, 192.168.1.5, wifi_network, true, old, 3
19:55:49, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:56:25, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, phone, 192.168.1.5, wifi_network, true, old, 3
19:56:25, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:57:00, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, phone, 192.168.1.5, wifi_network, true, old, 3
19:57:00, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:57:37, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, phone, 192.168.1.5, wifi_network, true, old, 3
19:57:37, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:58:12, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, phone, 192.168.1.5, wifi_network, true, old, 3
19:58:12, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
19:58:48, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, phone, 192.168.1.5, wifi_network, true, old, 3
19:58:48, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 3
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
20:05:32 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
20:05:38, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth discovery, true, fresh, 1
20:05:51, 00:23:D4:6A:22:09, 00:23:D4:6A:87:DE, phone, 192.168.1.1, wifi_network, true, fresh, 2
20:05:51, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, fresh, 3
20:05:52, 00:23:D4:6A:22:09, 00:23:D4:69:79:1C, phone, 192.168.1.2, wifi_network, true, fresh, 4
20:05:52, 00:23:D4:6A:22:09, 00:23:D4:68:E1:E9, GARBAGE NAME, GARBAGE IP, wifi_network, true, old, 4
20:09:24, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth_network, true, old, 4
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
10:04:35 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:04:41, 00:23:D4:6A:22:09, 00:23:D4:6A:A4:E2, 09, GARBAGE, bluetooth discovery, true, fresh, 1
10:04:41, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth discovery, true, fresh, 2
10:04:43, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, 07, GARBAGE, bluetooth discovery, true, fresh, 3
10:04:47, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, phone, 192.168.1.5, wifi_network, true, old, 3
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
10:13:25 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
10:13:31, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, 08, GARBAGE, bluetooth discovery, true, fresh, 1
10:13:32, 00:23:D4:6A:22:09, 00:23:D4:6A:BB:92, phone, 192.168.1.5, wifi_network, true, old, 1
10:13:32, 00:23:D4:6A:22:09, 00:23:D4:6A:E5:21, GARBAGE NAME, GARBAGE IP, wifi_network, false, fresh, 2
Current Time, My address, Neighbor address, Neighbor IP, Name, Network type, Direct, New, Size
10:17:18 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
