03:15:38, 20:40:43, Battery: level = 42, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3919
03:17:38, 20:42:42, Battery: level = 43, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3892
03:19:37, 20:44:42, Battery: level = 44, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3925
03:22:07, 20:47:12, Battery: level = 45, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3900
03:24:07, 20:49:12, Battery: level = 46, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3939
03:26:07, 20:51:12, Battery: level = 47, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3902
03:28:07, 20:53:12, Battery: level = 48, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3907
03:30:07, 20:55:12, Battery: level = 49, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3952
03:32:37, 20:57:41, Battery: level = 50, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3948
03:34:37, 20:59:41, Battery: level = 51, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3952
03:36:36, 21:01:41, Battery: level = 52, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3919
03:38:36, 21:03:41, Battery: level = 53, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3952
03:40:36, 21:05:41, Battery: level = 54, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3964
03:43:06, 21:08:11, Battery: level = 55, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3961
03:45:06, 21:10:11, Battery: level = 56, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3974
03:47:06, 21:12:11, Battery: level = 57, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3978
03:49:06, 21:14:10, Battery: level = 58, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3985
03:51:36, 21:16:40, Battery: level = 59, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3982
03:53:35, 21:18:40, Battery: level = 60, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3978
03:55:35, 21:20:40, Battery: level = 61, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3988
03:57:35, 21:22:40, Battery: level = 62, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3959
03:59:35, 21:24:40, Battery: level = 63, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3990
04:01:35, 21:26:40, Battery: level = 64, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3996
04:03:35, 21:28:40, Battery: level = 65, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4001
04:05:35, 21:30:39, Battery: level = 66, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3998
04:08:05, 21:33:09, Battery: level = 67, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3965
04:10:04, 21:35:09, Battery: level = 68, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4006
04:12:04, 21:37:09, Battery: level = 69, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4012
04:14:04, 21:39:09, Battery: level = 70, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3982
04:16:34, 21:41:39, Battery: level = 71, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3980
04:18:34, 21:43:39, Battery: level = 72, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4019
04:20:34, 21:45:39, Battery: level = 73, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4020
04:23:04, 21:48:08, Battery: level = 74, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4029
04:25:03, 21:50:08, Battery: level = 75, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4003
04:27:03, 21:52:08, Battery: level = 76, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4039
04:29:03, 21:54:08, Battery: level = 77, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4049
04:31:03, 21:56:08, Battery: level = 78, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4049
04:33:03, 21:58:08, Battery: level = 79, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4058
04:35:03, 22:00:08, Battery: level = 80, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4061
04:37:33, 22:02:38, Battery: level = 81, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4065
04:39:33, 22:04:37, Battery: level = 82, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4034
04:41:33, 22:06:37, Battery: level = 83, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4066
04:44:02, 22:09:07, Battery: level = 84, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4073
04:46:02, 22:11:07, Battery: level = 85, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4081
04:48:32, 22:13:37, Battery: level = 86, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4079
04:50:32, 22:15:37, Battery: level = 87, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4096
04:52:32, 22:17:37, Battery: level = 88, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4099
04:54:32, 22:19:37, Battery: level = 89, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4104
04:56:32, 22:21:36, Battery: level = 90, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4110
05:00:01, 22:25:06, Battery: level = 91, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4176
05:07:01, 22:32:06, Battery: level = 92, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
05:14:01, 22:39:05, Battery: level = 93, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
05:14:31, 22:39:35, Battery: level = 94, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
05:15:01, 22:40:05, Battery: level = 95, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
05:15:31, 22:40:35, Battery: level = 96, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
05:16:00, 22:41:05, Battery: level = 97, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
05:16:30, 22:41:35, Battery: level = 98, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
05:17:00, 22:42:05, Battery: level = 99, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
05:28:30, 22:53:35, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4179
18:52:35, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4144
UConnect Schedule  prime=7
18:52:36 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
18:56:21, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4144
UConnect Schedule  prime=7
18:56:21 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
18:57:59, 18:00:01, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4144
UConnect Schedule  prime=7
