02:20:30, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:21:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:21:04, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:21:05, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:21:05, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:21:07, 00:23:D4:6A:87:DE, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
02:21:07, 00:23:D4:6A:87:DE, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
02:22:09, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:22:09, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:22:10, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:22:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:22:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:22:34, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:22:35, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:22:35, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:27:36, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:27:36, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:27:36, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:27:36, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:27:37, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:27:37, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
02:27:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
02:27:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:27:56, 00:23:D4:6A:87:DE, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
02:27:57, 00:23:D4:6A:87:DE, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
