09:02:41, 00:23:D4:6A:22:09, GARBAGE, true
09:05:47, 00:23:D4:6A:22:09, GARBAGE, true
09:08:13, 00:23:D4:6A:22:09, GARBAGE, true
09:11:20, 00:23:D4:6A:22:09, GARBAGE, true
09:15:28, 00:23:D4:6A:22:09, GARBAGE, true
09:16:55, 00:23:D4:6A:22:09, GARBAGE, true
09:19:21, 00:23:D4:6A:22:09, GARBAGE, true
09:22:27, 00:23:D4:6A:22:09, GARBAGE, true
09:28:38, 00:23:D4:6A:22:09, GARBAGE, true
09:34:13, 00:23:D4:6A:22:09, GARBAGE, true
09:36:00, 00:23:D4:6A:22:09, GARBAGE, true
09:39:15, 00:23:D4:6A:22:09, GARBAGE, true
09:41:32, 00:23:D4:6A:22:09, GARBAGE, true
09:46:17, 00:23:D4:6A:22:09, GARBAGE, true
09:46:37, 00:23:D4:6A:22:09, 192.168.1.10, true
09:46:37, 00:23:D4:6A:22:09, GARBAGE IP, true
09:46:38, 00:23:D4:6A:22:09, GARBAGE IP, true
09:47:19, 00:23:D4:6A:22:09, 192.168.1.10, true
09:47:19, 00:23:D4:6A:22:09, GARBAGE IP, true
09:47:19, 00:23:D4:6A:22:09, GARBAGE IP, true
09:49:03, 00:23:D4:6A:22:09, GARBAGE, true
09:52:12, 00:23:D4:6A:22:09, GARBAGE, true
09:54:59, 00:23:D4:6A:22:09, GARBAGE, true
09:59:23, 00:23:D4:6A:22:09, GARBAGE, true
10:02:06, 00:23:D4:6A:22:09, GARBAGE, true
10:04:42, 00:23:D4:6A:22:09, GARBAGE, true
10:06:05, 00:23:D4:6A:22:09, 192.168.1.6, true
10:06:05, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:05, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:05, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:05, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:05, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:47, 00:23:D4:6A:22:09, 192.168.1.6, true
10:06:47, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:47, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:47, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:47, 00:23:D4:6A:22:09, GARBAGE IP, true
10:06:47, 00:23:D4:6A:22:09, GARBAGE IP, true
10:07:29, 00:23:D4:6A:22:09, 192.168.1.6, true
10:07:29, 00:23:D4:6A:22:09, GARBAGE IP, true
10:07:29, 00:23:D4:6A:22:09, GARBAGE IP, true
10:07:29, 00:23:D4:6A:22:09, GARBAGE IP, true
10:07:29, 00:23:D4:6A:22:09, GARBAGE IP, true
10:07:29, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:11, 00:23:D4:6A:22:09, 192.168.1.6, true
10:08:11, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:11, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:11, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:11, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:11, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:53, 00:23:D4:6A:22:09, 192.168.1.6, true
10:08:53, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:53, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:53, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:53, 00:23:D4:6A:22:09, GARBAGE IP, true
10:08:53, 00:23:D4:6A:22:09, GARBAGE IP, true
10:11:38, 00:23:D4:6A:22:09, GARBAGE, true
10:11:55, 00:23:D4:6A:22:09, GARBAGE, true
10:16:57, 00:23:D4:6A:22:09, GARBAGE, true
10:20:19, 00:23:D4:6A:22:09, GARBAGE, true
10:22:25, 00:23:D4:6A:22:09, 192.168.1.3, true
10:22:25, 00:23:D4:6A:22:09, GARBAGE IP, true
10:22:25, 00:23:D4:6A:22:09, GARBAGE IP, true
10:23:22, 00:23:D4:6A:22:09, GARBAGE, true
10:23:49, 00:23:D4:6A:22:09, 192.168.1.3, true
10:23:49, 00:23:D4:6A:22:09, GARBAGE IP, true
10:23:49, 00:23:D4:6A:22:09, GARBAGE IP, true
10:27:54, 00:23:D4:6A:22:09, GARBAGE, true
10:30:42, 00:23:D4:6A:22:09, GARBAGE, true
10:36:16, 00:23:D4:6A:22:09, GARBAGE, true
10:46:09, 00:23:D4:6A:22:09, GARBAGE, true
