11:12:04, 22:14:42, Battery: level = 72, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4181
11:19:04, 22:21:41, Battery: level = 73, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4179
11:26:03, 22:28:41, Battery: level = 74, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4179
11:32:33, 22:35:10, Battery: level = 75, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4179
11:39:33, 22:42:10, Battery: level = 76, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4177
11:46:32, 22:49:10, Battery: level = 77, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4182
11:53:32, 22:56:09, Battery: level = 78, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
12:00:31, 23:03:09, Battery: level = 79, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4179
12:07:01, 23:09:38, Battery: level = 80, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
12:14:00, 23:16:38, Battery: level = 81, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4179
12:21:00, 23:23:38, Battery: level = 82, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
12:27:59, 23:30:37, Battery: level = 83, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
12:34:59, 23:37:37, Battery: level = 84, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
12:41:59, 23:44:36, Battery: level = 85, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4179
12:48:28, 23:51:06, Battery: level = 86, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
12:55:28, 23:58:06, Battery: level = 87, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:02:27, 00:05:05, Battery: level = 88, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:09:27, 00:12:05, Battery: level = 89, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4178
13:16:27, 00:19:04, Battery: level = 90, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:23:26, 00:26:04, Battery: level = 91, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:29:56, 00:32:34, Battery: level = 92, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:36:55, 00:39:33, Battery: level = 93, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4182
13:37:25, 00:40:03, Battery: level = 94, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4182
13:37:55, 00:40:33, Battery: level = 95, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:38:25, 00:41:03, Battery: level = 96, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:38:55, 00:41:33, Battery: level = 97, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:39:25, 00:42:03, Battery: level = 98, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:39:55, 00:42:33, Battery: level = 99, scale = 100, status = 2, health = 2, plugged = 1, voltage = 4183
13:40:25, 00:43:03, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4183
00:18:28, 11:21:06, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4163
00:18:31, 11:21:08, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4163
00:18:34, 11:21:12, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4150
00:19:48, 11:22:26, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 1, voltage = 4159
00:19:49, 11:22:26, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4159
