14:46:48, 00:23:D4:69:79:1C, GARBAGE IP, true
14:46:48, 00:23:D4:69:79:1C, GARBAGE IP, true
14:47:24, 00:23:D4:69:79:1C, GARBAGE, true
14:54:31, 00:23:D4:69:79:1C, GARBAGE, true
14:57:24, 00:23:D4:69:79:1C, 192.168.1.7, true
14:57:24, 00:23:D4:69:79:1C, GARBAGE IP, true
14:57:24, 00:23:D4:69:79:1C, GARBAGE IP, true
14:57:24, 00:23:D4:69:79:1C, GARBAGE IP, true
14:57:24, 00:23:D4:69:79:1C, GARBAGE IP, true
14:59:00, 00:23:D4:69:79:1C, GARBAGE, true
15:02:15, 00:23:D4:69:79:1C, GARBAGE, true
15:05:25, 00:23:D4:69:79:1C, GARBAGE, true
15:12:28, 00:23:D4:69:79:1C, GARBAGE, true
15:15:46, 00:23:D4:69:79:1C, GARBAGE, true
15:18:51, 00:23:D4:69:79:1C, GARBAGE, true
15:22:02, 00:23:D4:69:79:1C, GARBAGE, true
15:27:43, 00:23:D4:69:79:1C, GARBAGE, true
15:28:51, 00:23:D4:69:79:1C, GARBAGE, true
15:29:48, 00:23:D4:69:79:1C, 192.168.1.9, true
15:29:48, 00:23:D4:69:79:1C, GARBAGE IP, true
15:29:48, 00:23:D4:69:79:1C, GARBAGE IP, true
15:29:48, 00:23:D4:69:79:1C, GARBAGE IP, true
15:29:48, 00:23:D4:69:79:1C, GARBAGE IP, true
15:32:02, 00:23:D4:69:79:1C, GARBAGE, true
15:35:29, 00:23:D4:69:79:1C, GARBAGE, true
15:38:40, 00:23:D4:69:79:1C, GARBAGE, true
15:41:44, 00:23:D4:69:79:1C, GARBAGE, true
15:44:54, 00:23:D4:69:79:1C, GARBAGE, true
15:45:40, 00:23:D4:69:79:1C, GARBAGE, true
15:52:55, 00:23:D4:69:79:1C, GARBAGE, true
15:56:08, 00:23:D4:69:79:1C, GARBAGE, true
15:59:14, 00:23:D4:69:79:1C, GARBAGE, true
16:02:20, 00:23:D4:69:79:1C, GARBAGE, true
16:06:51, 00:23:D4:69:79:1C, GARBAGE, true
16:12:38, 00:23:D4:69:79:1C, GARBAGE, true
16:13:12, 00:23:D4:69:79:1C, 192.168.1.1, true
16:13:12, 00:23:D4:69:79:1C, GARBAGE IP, true
16:13:12, 00:23:D4:69:79:1C, GARBAGE IP, true
16:13:54, 00:23:D4:69:79:1C, 192.168.1.1, true
16:13:54, 00:23:D4:69:79:1C, GARBAGE IP, true
16:13:54, 00:23:D4:69:79:1C, GARBAGE IP, true
16:14:36, 00:23:D4:69:79:1C, 192.168.1.1, true
16:14:36, 00:23:D4:69:79:1C, GARBAGE IP, true
16:14:36, 00:23:D4:69:79:1C, GARBAGE IP, true
16:15:18, 00:23:D4:69:79:1C, 192.168.1.1, true
16:15:18, 00:23:D4:69:79:1C, GARBAGE IP, true
16:15:18, 00:23:D4:69:79:1C, GARBAGE IP, true
16:15:37, 00:23:D4:69:79:1C, GARBAGE, true
16:20:05, 00:23:D4:69:79:1C, GARBAGE, true
16:23:15, 00:23:D4:69:79:1C, GARBAGE, true
16:26:29, 00:23:D4:69:79:1C, GARBAGE, true
16:28:57, 00:23:D4:69:79:1C, GARBAGE, true
16:30:41, 00:23:D4:69:79:1C, GARBAGE, true
16:30:49, 00:23:D4:69:79:1C, GARBAGE, true
16:33:33, 00:23:D4:69:79:1C, 192.168.1.8, true
16:33:33, 00:23:D4:69:79:1C, GARBAGE IP, true
16:33:33, 00:23:D4:69:79:1C, GARBAGE IP, true
16:33:33, 00:23:D4:69:79:1C, GARBAGE IP, true
16:33:33, 00:23:D4:69:79:1C, GARBAGE IP, true
16:34:15, 00:23:D4:69:79:1C, 192.168.1.8, true
16:34:15, 00:23:D4:69:79:1C, GARBAGE IP, true
16:34:15, 00:23:D4:69:79:1C, GARBAGE IP, true
16:34:15, 00:23:D4:69:79:1C, GARBAGE IP, true
16:34:15, 00:23:D4:69:79:1C, GARBAGE IP, true
16:34:57, 00:23:D4:69:79:1C, 192.168.1.8, true
16:34:57, 00:23:D4:69:79:1C, GARBAGE IP, true
