12:19:26, 00:23:D4:6A:B9:0F, GARBAGE, true
12:22:40, 00:23:D4:6A:B9:0F, GARBAGE, true
12:25:45, 00:23:D4:6A:B9:0F, GARBAGE, true
12:33:21, 00:23:D4:6A:B9:0F, GARBAGE, true
12:38:01, 00:23:D4:6A:B9:0F, GARBAGE, true
12:47:17, 00:23:D4:6A:B9:0F, GARBAGE, true
12:51:51, 00:23:D4:6A:B9:0F, GARBAGE, true
12:58:07, 00:23:D4:6A:B9:0F, GARBAGE, true
13:01:16, 00:23:D4:6A:B9:0F, GARBAGE, true
13:05:55, 00:23:D4:6A:B9:0F, GARBAGE, true
13:12:24, 00:23:D4:6A:B9:0F, GARBAGE, true
13:20:01, 00:23:D4:6A:B9:0F, GARBAGE, true
13:26:15, 00:23:D4:6A:B9:0F, GARBAGE, true
13:29:27, 00:23:D4:6A:B9:0F, GARBAGE, true
13:33:51, 00:23:D4:6A:B9:0F, GARBAGE, true
13:37:04, 00:23:D4:6A:B9:0F, GARBAGE, true
13:43:03, 00:23:D4:6A:B9:0F, GARBAGE, true
13:46:58, 00:23:D4:6A:B9:0F, GARBAGE, true
13:47:32, 00:23:D4:6A:B9:0F, GARBAGE, true
13:47:43, 00:23:D4:6A:B9:0F, GARBAGE, true
13:53:24, 00:23:D4:6A:B9:0F, 192.168.1.7, true
13:53:24, 00:23:D4:6A:B9:0F, GARBAGE IP, true
13:53:24, 00:23:D4:6A:B9:0F, GARBAGE IP, true
13:53:25, 00:23:D4:6A:B9:0F, GARBAGE IP, true
13:55:01, 00:23:D4:6A:B9:0F, GARBAGE, true
14:02:56, 00:23:D4:6A:B9:0F, GARBAGE, true
14:09:22, 00:23:D4:6A:B9:0F, GARBAGE, true
14:12:31, 00:23:D4:6A:B9:0F, GARBAGE, true
14:20:01, 00:23:D4:6A:B9:0F, GARBAGE, true
14:23:14, 00:23:D4:6A:B9:0F, GARBAGE, true
14:26:24, 00:23:D4:6A:B9:0F, GARBAGE, true
14:34:01, 00:23:D4:6A:B9:0F, GARBAGE, true
14:37:10, 00:23:D4:6A:B9:0F, GARBAGE, true
14:40:18, 00:23:D4:6A:B9:0F, GARBAGE, true
14:44:44, 00:23:D4:6A:B9:0F, GARBAGE, true
14:51:02, 00:23:D4:6A:B9:0F, GARBAGE, true
14:54:09, 00:23:D4:6A:B9:0F, GARBAGE, true
14:58:40, 00:23:D4:6A:B9:0F, GARBAGE, true
15:05:02, 00:23:D4:6A:B9:0F, GARBAGE, true
15:09:30, 00:23:D4:6A:B9:0F, GARBAGE, true
15:15:45, 00:23:D4:6A:B9:0F, GARBAGE, true
15:20:12, 00:23:D4:6A:B9:0F, GARBAGE, true
15:26:38, 00:23:D4:6A:B9:0F, GARBAGE, true
15:29:41, 00:23:D4:6A:B9:0F, GARBAGE, true
15:34:07, 00:23:D4:6A:B9:0F, GARBAGE, true
15:43:37, 00:23:D4:6A:B9:0F, GARBAGE, true
15:48:06, 00:23:D4:6A:B9:0F, GARBAGE, true
15:54:28, 00:23:D4:6A:B9:0F, GARBAGE, true
15:57:33, 00:23:D4:6A:B9:0F, GARBAGE, true
16:02:01, 00:23:D4:6A:B9:0F, GARBAGE, true
16:08:14, 00:23:D4:6A:B9:0F, GARBAGE, true
16:12:40, 00:23:D4:6A:B9:0F, GARBAGE, true
16:12:46, 00:23:D4:6A:B9:0F, GARBAGE, true
16:15:30, 00:23:D4:6A:B9:0F, GARBAGE, true
16:18:43, 00:23:D4:6A:B9:0F, GARBAGE, true
16:22:08, 00:23:D4:6A:B9:0F, GARBAGE, true
16:25:48, 00:23:D4:6A:B9:0F, GARBAGE, true
16:30:15, 00:23:D4:6A:B9:0F, GARBAGE, true
16:33:31, 00:23:D4:6A:B9:0F, GARBAGE, true
16:37:57, 00:23:D4:6A:B9:0F, GARBAGE, true
16:44:29, 00:23:D4:6A:B9:0F, GARBAGE, true
16:46:15, 00:23:D4:6A:B9:0F, 192.168.1.11, true
16:46:15, 00:23:D4:6A:B9:0F, GARBAGE IP, true
16:46:15, 00:23:D4:6A:B9:0F, GARBAGE IP, true
16:46:15, 00:23:D4:6A:B9:0F, GARBAGE IP, true
16:47:46, 00:23:D4:6A:B9:0F, GARBAGE, true
16:52:12, 00:23:D4:6A:B9:0F, GARBAGE, true
16:58:38, 00:23:D4:6A:B9:0F, GARBAGE, true
17:01:53, 00:23:D4:6A:B9:0F, GARBAGE, true
17:06:15, 00:23:D4:6A:B9:0F, GARBAGE, true
17:12:51, 00:23:D4:6A:B9:0F, GARBAGE, true
17:15:57, 00:23:D4:6A:B9:0F, GARBAGE, true
17:20:28, 00:23:D4:6A:B9:0F, GARBAGE, true
17:23:42, 00:23:D4:6A:B9:0F, GARBAGE, true
17:29:55, 00:23:D4:6A:B9:0F, GARBAGE, true
17:34:24, 00:23:D4:6A:B9:0F, GARBAGE, true
17:37:41, 00:23:D4:6A:B9:0F, GARBAGE, true
17:43:59, 00:23:D4:6A:B9:0F, GARBAGE, true
17:48:32, 00:23:D4:6A:B9:0F, GARBAGE, true
17:56:13, 00:23:D4:6A:B9:0F, GARBAGE, true
17:59:33, 00:23:D4:6A:B9:0F, GARBAGE, true
