15:30:52, 00:23:D4:6A:E5:21, 192.168.1.12, true
15:30:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:30:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:30:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:30:52, 00:23:D4:6A:E5:21, GARBAGE IP, true
15:31:02, 00:23:D4:6A:E5:21, GARBAGE, true
15:31:09, 00:23:D4:6A:E5:21, GARBAGE, true
15:34:28, 00:23:D4:6A:E5:21, GARBAGE, true
15:37:41, 00:23:D4:6A:E5:21, GARBAGE, true
15:43:53, 00:23:D4:6A:E5:21, GARBAGE, true
15:47:33, 00:23:D4:6A:E5:21, GARBAGE, true
15:51:54, 00:23:D4:6A:E5:21, GARBAGE, true
15:55:09, 00:23:D4:6A:E5:21, GARBAGE, true
15:58:14, 00:23:D4:6A:E5:21, GARBAGE, true
16:05:50, 00:23:D4:6A:E5:21, GARBAGE, true
16:08:44, 00:23:D4:6A:E5:21, GARBAGE, true
16:11:37, 00:23:D4:6A:E5:21, GARBAGE, true
16:14:38, 00:23:D4:6A:E5:21, GARBAGE, true
16:19:04, 00:23:D4:6A:E5:21, GARBAGE, true
16:27:53, 00:23:D4:6A:E5:21, GARBAGE, true
16:29:40, 00:23:D4:6A:E5:21, GARBAGE, true
16:29:51, 00:23:D4:6A:E5:21, GARBAGE, true
16:34:02, 00:23:D4:6A:E5:21, GARBAGE, true
16:34:26, 00:23:D4:6A:E5:21, GARBAGE, true
16:37:38, 00:23:D4:6A:E5:21, GARBAGE, true
16:40:53, 00:23:D4:6A:E5:21, GARBAGE, true
16:45:23, 00:23:D4:6A:E5:21, GARBAGE, true
16:51:41, 00:23:D4:6A:E5:21, GARBAGE, true
16:54:21, 00:23:D4:6A:E5:21, GARBAGE, true
16:57:29, 00:23:D4:6A:E5:21, GARBAGE, true
17:00:29, 00:23:D4:6A:E5:21, GARBAGE, true
17:04:57, 00:23:D4:6A:E5:21, GARBAGE, true
17:10:29, 00:23:D4:6A:E5:21, 192.168.1.2, true
17:10:29, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:10:48, 00:23:D4:6A:E5:21, GARBAGE, true
17:13:17, 00:23:D4:6A:E5:21, 192.168.1.2, true
17:13:17, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:14:27, 00:23:D4:6A:E5:21, GARBAGE, true
17:17:56, 00:23:D4:6A:E5:21, GARBAGE, true
17:21:05, 00:23:D4:6A:E5:21, GARBAGE, true
17:23:52, 00:23:D4:6A:E5:21, GARBAGE, true
17:38:18, 00:23:D4:6A:E5:21, 192.168.1.9, true
17:38:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:38:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:38:18, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:38:59, 00:23:D4:6A:E5:21, 192.168.1.1, true
17:38:59, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:39:00, 00:23:D4:6A:E5:21, 192.168.1.9, true
17:39:00, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:39:00, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:39:00, 00:23:D4:6A:E5:21, GARBAGE IP, true
17:39:13, 00:23:D4:6A:E5:21, GARBAGE, true
17:45:13, 00:23:D4:6A:E5:21, GARBAGE, true
17:45:25, 00:23:D4:6A:E5:21, GARBAGE, true
17:49:53, 00:23:D4:6A:E5:21, GARBAGE, true
17:56:16, 00:23:D4:6A:E5:21, GARBAGE, true
17:58:53, 00:23:D4:6A:E5:21, GARBAGE, true
18:02:06, 00:23:D4:6A:E5:21, GARBAGE, true
18:09:39, 00:23:D4:6A:E5:21, GARBAGE, true
18:12:53, 00:23:D4:6A:E5:21, GARBAGE, true
18:15:41, 00:23:D4:6A:E5:21, GARBAGE, true
18:18:44, 00:23:D4:6A:E5:21, GARBAGE, true
