20:56:01, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:56:39, 00:23:D4:6A:87:DE, 192.168.1.2, false
20:56:40, 00:23:D4:6A:87:DE, 192.168.1.14, true
20:56:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:56:43, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:58:45, 00:23:D4:6A:87:DE, 192.168.1.16, false
20:58:45, 00:23:D4:6A:87:DE, GARBAGE IP, true
20:58:49, 00:23:D4:6A:87:DE, 192.168.1.3, false
20:59:27, 00:23:D4:6A:87:DE, 192.168.1.16, false
20:59:27, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:00:09, 00:23:D4:6A:87:DE, 192.168.1.16, false
21:00:09, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:00:51, 00:23:D4:6A:87:DE, 192.168.1.16, false
21:00:51, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:00:51, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:00:52, 00:23:D4:6A:87:DE, 192.168.1.14, true
21:00:52, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:00:54, 00:23:D4:6A:87:DE, 192.168.1.3, false
21:01:33, 00:23:D4:6A:87:DE, 192.168.1.16, false
21:01:33, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:01:33, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:02:57, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:03:38, 00:23:D4:6A:87:DE, 192.168.1.13, true
21:03:38, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:04:20, 00:23:D4:6A:87:DE, 192.168.1.13, true
21:04:20, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:05:02, 00:23:D4:6A:87:DE, 192.168.1.13, true
21:05:02, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:05:03, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:05:06, 00:23:D4:6A:87:DE, 192.168.1.3, false
21:05:45, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:05:48, 00:23:D4:6A:87:DE, 192.168.1.3, false
21:06:27, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:07:51, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:09:18, 00:23:D4:6A:87:DE, 192.168.1.3, false
21:09:57, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:09:58, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:10:00, 00:23:D4:6A:87:DE, 192.168.1.3, false
21:10:39, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:10:42, 00:23:D4:6A:87:DE, 192.168.1.3, false
21:11:21, 00:23:D4:6A:87:DE, 192.168.1.19, true
21:11:21, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:12:45, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:14:50, 00:23:D4:6A:87:DE, 192.168.1.19, true
21:14:50, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:15:34, 00:23:D4:6A:87:DE, 192.168.1.14, true
21:15:34, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:17:40, 00:23:D4:6A:87:DE, 192.168.1.14, true
21:17:40, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:18:22, 00:23:D4:6A:87:DE, 192.168.1.14, true
21:18:22, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:18:23, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:19:02, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:19:04, 00:23:D4:6A:87:DE, 192.168.1.14, true
21:19:04, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:19:05, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:19:44, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:19:46, 00:23:D4:6A:87:DE, 192.168.1.14, true
21:19:46, 00:23:D4:6A:87:DE, GARBAGE IP, true
21:19:47, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:20:26, 00:23:D4:6A:87:DE, 192.168.1.2, false
21:20:29, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:21:10, 00:23:D4:6A:87:DE, 192.168.1.4, false
21:22:31, 00:23:D4:6A:87:DE, 192.168.1.13, true
21:22:31, 00:23:D4:6A:87:DE, GARBAGE IP, true
