22:04:23, 00:23:D4:6A:BF:DE, 192.168.1.3, false
22:04:23, 00:23:D4:6A:BF:DE, 192.168.1.15, true
22:04:23, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:05:03, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:05:05, 00:23:D4:6A:BF:DE, 192.168.1.3, false
22:07:09, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:08:33, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:08:35, 00:23:D4:6A:BF:DE, 192.168.1.3, false
22:09:15, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:09:57, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:12:45, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:13:27, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:14:51, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:16:57, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:19:01, 00:23:D4:6A:BF:DE, 192.168.1.12, true
22:19:01, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:19:02, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:21:51, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:22:29, 00:23:D4:6A:BF:DE, 192.168.1.15, true
22:22:29, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:22:32, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:23:11, 00:23:D4:6A:BF:DE, 192.168.1.15, true
22:23:11, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:23:14, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:23:56, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:23:58, 00:23:D4:6A:BF:DE, 192.168.1.19, true
22:23:58, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:24:35, 00:23:D4:6A:BF:DE, 192.168.1.15, true
22:24:35, 00:23:D4:6A:BF:DE, GARBAGE IP, true
22:24:38, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:26:44, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:28:08, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:28:50, 00:23:D4:6A:BF:DE, 192.168.1.1, false
22:29:32, 00:23:D4:6A:BF:DE, 192.168.1.1, false
