23:58:35, 00:23:D4:6A:E5:21, GARBAGE IP, true
23:59:59, 00:23:D4:6A:E5:21, 192.168.1.19, true
23:59:59, 00:23:D4:6A:E5:21, GARBAGE IP, true
00:04:53, 00:23:D4:6A:E5:21, GARBAGE, false
00:14:15, 00:23:D4:6A:E5:21, GARBAGE, false
00:15:56, 00:23:D4:6A:E5:21, 192.168.1.1, false
00:15:56, 00:23:D4:6A:E5:21, 192.168.1.14, true
00:15:56, 00:23:D4:6A:E5:21, GARBAGE IP, true
00:18:02, 00:23:D4:6A:E5:21, 192.168.1.14, true
00:18:02, 00:23:D4:6A:E5:21, GARBAGE IP, true
00:18:04, 00:23:D4:6A:E5:21, 192.168.1.4, false
00:18:43, 00:23:D4:6A:E5:21, 192.168.1.1, false
00:18:44, 00:23:D4:6A:E5:21, 192.168.1.14, true
00:18:44, 00:23:D4:6A:E5:21, GARBAGE IP, true
00:23:37, 00:23:D4:6A:E5:21, GARBAGE, false
00:26:00, 00:23:D4:6A:E5:21, 192.168.1.5, false
00:26:45, 00:23:D4:6A:E5:21, 192.168.1.14, true
00:26:45, 00:23:D4:6A:E5:21, GARBAGE IP, true
00:27:23, 00:23:D4:6A:E5:21, 192.168.1.5, false
00:28:09, 00:23:D4:6A:E5:21, 192.168.1.14, true
00:28:09, 00:23:D4:6A:E5:21, GARBAGE IP, true
00:32:59, 00:23:D4:6A:E5:21, GARBAGE, false
00:36:06, 00:23:D4:6A:E5:21, 192.168.1.14, true
00:36:06, 00:23:D4:6A:E5:21, GARBAGE IP, true
00:42:20, 00:23:D4:6A:E5:21, GARBAGE, false
00:51:42, 00:23:D4:6A:E5:21, GARBAGE, false
01:01:04, 00:23:D4:6A:E5:21, GARBAGE, false
01:04:52, 00:23:D4:6A:E5:21, 192.168.1.1, false
01:10:27, 00:23:D4:6A:E5:21, GARBAGE, false
01:12:09, 00:23:D4:6A:E5:21, 192.168.1.16, true
01:12:09, 00:23:D4:6A:E5:21, GARBAGE IP, true
01:19:48, 00:23:D4:6A:E5:21, GARBAGE, false
01:21:30, 00:23:D4:6A:E5:21, 192.168.1.16, true
01:21:30, 00:23:D4:6A:E5:21, GARBAGE IP, true
01:21:32, 00:23:D4:6A:E5:21, 192.168.1.1, false
01:25:02, 00:23:D4:6A:E5:21, 192.168.1.1, false
01:25:43, 00:23:D4:6A:E5:21, 192.168.1.1, false
01:29:10, 00:23:D4:6A:E5:21, GARBAGE, false
