00:46:08, 00:23:D4:6A:22:09, 192.168.1.5, false
00:46:09, 00:23:D4:6A:22:09, 192.168.1.3, false
00:50:21, 00:23:D4:6A:22:09, GARBAGE, false
00:52:47, 00:23:D4:6A:22:09, 192.168.1.4, false
00:53:29, 00:23:D4:6A:22:09, 192.168.1.4, false
00:54:53, 00:23:D4:6A:22:09, 192.168.1.4, false
00:56:17, 00:23:D4:6A:22:09, 192.168.1.4, false
00:59:46, 00:23:D4:6A:22:09, GARBAGE, false
01:09:11, 00:23:D4:6A:22:09, GARBAGE, false
01:10:52, 00:23:D4:6A:22:09, 192.168.1.4, false
01:12:16, 00:23:D4:6A:22:09, 192.168.1.4, false
01:18:36, 00:23:D4:6A:22:09, GARBAGE, false
01:28:01, 00:23:D4:6A:22:09, GARBAGE, false
