23:41:39, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:41:40, 00:23:D4:68:E1:E9, 192.168.1.3, false
23:42:19, 00:23:D4:68:E1:E9, 192.168.1.2, false
23:42:20, 00:23:D4:68:E1:E9, 192.168.1.4, false
23:42:21, 00:23:D4:68:E1:E9, 192.168.1.12, true
23:42:21, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:42:22, 00:23:D4:68:E1:E9, 192.168.1.3, false
23:43:01, 00:23:D4:68:E1:E9, 192.168.1.2, false
23:43:01, 00:23:D4:68:E1:E9, 192.168.1.4, false
23:43:43, 00:23:D4:68:E1:E9, 192.168.1.2, false
23:43:43, 00:23:D4:68:E1:E9, 192.168.1.4, false
23:47:12, 00:23:D4:68:E1:E9, GARBAGE, false
23:56:34, 00:23:D4:68:E1:E9, GARBAGE, false
23:59:38, 00:23:D4:68:E1:E9, 192.168.1.14, true
23:59:38, 00:23:D4:68:E1:E9, GARBAGE IP, true
23:59:38, 00:23:D4:68:E1:E9, 192.168.1.5, false
23:59:42, 00:23:D4:68:E1:E9, 192.168.1.1, false
23:59:42, 00:23:D4:68:E1:E9, 192.168.1.4, false
00:00:24, 00:23:D4:68:E1:E9, 192.168.1.4, false
00:02:29, 00:23:D4:68:E1:E9, 192.168.1.1, false
00:05:55, 00:23:D4:68:E1:E9, GARBAGE, false
00:07:38, 00:23:D4:68:E1:E9, 192.168.1.14, true
00:07:38, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:09:02, 00:23:D4:68:E1:E9, 192.168.1.14, true
00:09:02, 00:23:D4:68:E1:E9, GARBAGE IP, true
00:11:06, 00:23:D4:68:E1:E9, 192.168.1.3, false
00:15:16, 00:23:D4:68:E1:E9, GARBAGE, false
00:24:38, 00:23:D4:68:E1:E9, GARBAGE, false
00:27:02, 00:23:D4:68:E1:E9, 192.168.1.5, false
00:33:59, 00:23:D4:68:E1:E9, GARBAGE, false
00:43:20, 00:23:D4:68:E1:E9, GARBAGE, false
00:48:32, 00:23:D4:68:E1:E9, 192.168.1.1, false
00:49:14, 00:23:D4:68:E1:E9, 192.168.1.1, false
00:52:42, 00:23:D4:68:E1:E9, GARBAGE, false
01:02:03, 00:23:D4:68:E1:E9, GARBAGE, false
01:07:14, 00:23:D4:68:E1:E9, 192.168.1.13, true
01:07:14, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:11:23, 00:23:D4:68:E1:E9, GARBAGE, false
01:16:36, 00:23:D4:68:E1:E9, 192.168.1.13, true
01:16:36, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:20:45, 00:23:D4:68:E1:E9, GARBAGE, false
01:22:25, 00:23:D4:68:E1:E9, 192.168.1.5, false
01:23:09, 00:23:D4:68:E1:E9, 192.168.1.3, false
01:23:50, 00:23:D4:68:E1:E9, 192.168.1.5, false
01:23:52, 00:23:D4:68:E1:E9, 192.168.1.3, false
01:24:34, 00:23:D4:68:E1:E9, 192.168.1.3, false
01:25:14, 00:23:D4:68:E1:E9, 192.168.1.5, false
01:25:15, 00:23:D4:68:E1:E9, 192.168.1.3, false
01:25:56, 00:23:D4:68:E1:E9, 192.168.1.5, false
01:25:57, 00:23:D4:68:E1:E9, 192.168.1.13, true
01:25:57, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:25:57, 00:23:D4:68:E1:E9, 192.168.1.3, false
01:30:06, 00:23:D4:68:E1:E9, GARBAGE, false
01:32:31, 00:23:D4:68:E1:E9, 192.168.1.1, false
01:33:13, 00:23:D4:68:E1:E9, 192.168.1.1, false
01:33:55, 00:23:D4:68:E1:E9, 192.168.1.1, false
01:34:37, 00:23:D4:68:E1:E9, 192.168.1.1, false
01:35:18, 00:23:D4:68:E1:E9, 192.168.1.13, true
01:35:18, 00:23:D4:68:E1:E9, GARBAGE IP, true
01:35:18, 00:23:D4:68:E1:E9, 192.168.1.1, false
