14:28:58, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:28:58, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:29:32, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:29:32, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:29:33, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:29:33, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:30:10, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:30:10, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:30:24, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:30:24, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:30:45, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:30:45, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:30:47, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:30:47, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:31:17, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:31:17, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:31:36, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:31:36, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:32:58, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:32:58, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:32:59, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:32:59, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:32:59, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:32:59, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:33:08, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:33:08, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:33:51, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:33:51, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:34:40, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:34:40, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:34:40, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:34:40, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:35:34, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:35:34, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:36:08, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:36:08, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:36:09, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:36:09, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:37:15, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:37:15, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
14:37:16, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:37:16, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:38:06, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:38:06, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:38:17, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:38:17, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:38:17, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:38:17, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
14:39:24, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, bluetooth_network, false, fresh
14:39:24, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, wifi_network, false, fresh
14:39:49, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:39:49, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:40:30, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:40:30, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:41:20, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:41:20, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:41:31, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:41:31, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, wifi_network, false, fresh
14:41:33, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:41:33, 00:23:D4:69:79:1C, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
14:42:23, 00:23:D4:69:79:1C, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:42:23, 00:23:D4:69:79:1C, 00:23:D4:6A:F5:43, wifi_network, false, fresh
14:42:24, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:42:24, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:43:10, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:43:10, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:43:15, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:43:15, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:43:40, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:43:40, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:44:06, 00:23:D4:69:79:1C, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:44:06, 00:23:D4:69:79:1C, 00:23:D4:6A:22:09, wifi_network, false, fresh
14:44:06, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:44:06, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:44:12, 00:23:D4:69:79:1C, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:44:12, 00:23:D4:69:79:1C, 00:23:D4:6A:BB:92, wifi_network, false, fresh
14:44:13, 00:23:D4:69:79:1C, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
