10:03:37, 00:23:D4:6A:BF:DE, 192.168.1.5, true
10:03:37, 00:23:D4:6A:BF:DE, GARBAGE IP, true
10:07:47, 00:23:D4:6A:BF:DE, GARBAGE, true
10:15:16, 00:23:D4:6A:BF:DE, GARBAGE, true
10:17:13, 00:23:D4:6A:BF:DE, GARBAGE, true
10:20:02, 00:23:D4:6A:BF:DE, GARBAGE, true
10:31:17, 00:23:D4:6A:BF:DE, GARBAGE, true
10:32:50, 00:23:D4:6A:BF:DE, GARBAGE, true
10:38:30, 00:23:D4:6A:BF:DE, GARBAGE, true
10:43:53, 00:23:D4:6A:BF:DE, GARBAGE, true
10:45:11, 00:23:D4:6A:BF:DE, GARBAGE, true
10:47:57, 00:23:D4:6A:BF:DE, GARBAGE, true
10:52:43, 00:23:D4:6A:BF:DE, GARBAGE, true
10:55:48, 00:23:D4:6A:BF:DE, GARBAGE, true
11:01:15, 00:23:D4:6A:BF:DE, 192.168.1.8, true
11:01:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:01:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:01:15, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:01:57, 00:23:D4:6A:BF:DE, 192.168.1.8, true
11:01:57, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:01:57, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:01:57, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:02:00, 00:23:D4:6A:BF:DE, GARBAGE, true
11:06:45, 00:23:D4:6A:BF:DE, GARBAGE, true
11:12:14, 00:23:D4:6A:BF:DE, GARBAGE, true
11:17:00, 00:23:D4:6A:BF:DE, GARBAGE, true
11:17:45, 00:23:D4:6A:BF:DE, 192.168.1.12, true
11:17:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:17:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:17:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:17:45, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:18:25, 00:23:D4:6A:BF:DE, 192.168.1.12, true
11:18:25, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:18:25, 00:23:D4:6A:BF:DE, GARBAGE IP, true
11:18:25, 00:23:D4:6A:BF:DE, GARBAGE IP, true
