07:47:25, 00:23:D4:69:79:1C, GARBAGE, true
07:51:07, 00:23:D4:69:79:1C, 192.168.1.5, true
07:51:07, 00:23:D4:69:79:1C, GARBAGE IP, true
07:51:07, 00:23:D4:69:79:1C, GARBAGE IP, true
07:51:07, 00:23:D4:69:79:1C, GARBAGE IP, true
07:56:39, 00:23:D4:69:79:1C, GARBAGE, true
08:01:18, 00:23:D4:69:79:1C, GARBAGE, true
08:05:52, 00:23:D4:69:79:1C, GARBAGE, true
08:10:29, 00:23:D4:69:79:1C, GARBAGE, true
08:19:44, 00:23:D4:69:79:1C, GARBAGE, true
08:24:21, 00:23:D4:69:79:1C, GARBAGE, true
08:29:11, 00:23:D4:69:79:1C, GARBAGE, true
08:38:19, 00:23:D4:69:79:1C, GARBAGE, true
08:45:04, 00:23:D4:69:79:1C, GARBAGE, true
08:47:25, 00:23:D4:69:79:1C, GARBAGE, true
08:56:34, 00:23:D4:69:79:1C, GARBAGE, true
08:58:51, 00:23:D4:69:79:1C, GARBAGE, true
09:05:49, 00:23:D4:69:79:1C, GARBAGE, true
09:07:57, 00:23:D4:69:79:1C, GARBAGE, true
09:17:15, 00:23:D4:69:79:1C, GARBAGE, true
09:21:48, 00:23:D4:69:79:1C, GARBAGE, true
09:26:30, 00:23:D4:69:79:1C, GARBAGE, true
09:29:28, 00:23:D4:69:79:1C, 192.168.1.4, true
09:29:28, 00:23:D4:69:79:1C, GARBAGE IP, true
09:29:28, 00:23:D4:69:79:1C, GARBAGE IP, true
09:29:28, 00:23:D4:69:79:1C, GARBAGE IP, true
09:35:38, 00:23:D4:69:79:1C, GARBAGE, true
09:40:24, 00:23:D4:69:79:1C, GARBAGE, true
09:45:00, 00:23:D4:69:79:1C, GARBAGE, true
09:54:18, 00:23:D4:69:79:1C, GARBAGE, true
09:56:24, 00:23:D4:69:79:1C, GARBAGE, true
10:00:51, 00:23:D4:69:79:1C, GARBAGE, true
10:05:30, 00:23:D4:69:79:1C, GARBAGE, true
10:09:55, 00:23:D4:69:79:1C, 192.168.1.5, true
10:09:55, 00:23:D4:69:79:1C, GARBAGE IP, true
10:09:55, 00:23:D4:69:79:1C, GARBAGE IP, true
10:09:55, 00:23:D4:69:79:1C, GARBAGE IP, true
10:10:37, 00:23:D4:69:79:1C, 192.168.1.5, true
10:10:37, 00:23:D4:69:79:1C, GARBAGE IP, true
10:10:37, 00:23:D4:69:79:1C, GARBAGE IP, true
10:10:37, 00:23:D4:69:79:1C, GARBAGE IP, true
10:11:19, 00:23:D4:69:79:1C, 192.168.1.5, true
10:11:19, 00:23:D4:69:79:1C, GARBAGE IP, true
10:11:19, 00:23:D4:69:79:1C, GARBAGE IP, true
10:11:19, 00:23:D4:69:79:1C, GARBAGE IP, true
10:14:45, 00:23:D4:69:79:1C, GARBAGE, true
