21:51:25, 18:00:00, Battery: level = 94, scale = 100, status = 2, health = 2, plugged = 2, voltage = 4164
23:19:50, 19:28:25, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3963
23:21:20, 19:29:55, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3959
23:23:20, 19:31:55, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3934
23:49:48, 19:58:24, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3945
23:51:18, 19:59:53, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3943
00:05:47, 20:14:23, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3931
00:19:47, 20:28:22, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3931
00:21:46, 20:30:22, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3928
00:32:46, 20:41:21, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3928
00:42:15, 20:50:50, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3923
00:45:45, 20:54:20, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3916
00:48:45, 20:57:20, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3866
00:50:15, 20:58:50, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3867
00:51:15, 20:59:50, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3899
00:51:45, 21:00:20, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3873
01:02:44, 21:11:19, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3877
01:46:42, 21:55:17, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3868
01:56:41, 22:05:16, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3861
02:10:40, 22:19:15, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3850
02:12:10, 22:20:45, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3845
02:37:39, 22:46:14, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3847
02:41:08, 22:49:44, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3838
03:01:07, 23:09:42, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3829
03:02:37, 23:11:12, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3823
03:04:37, 23:13:12, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3823
03:21:06, 23:29:41, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3818
03:34:05, 23:42:40, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3792
03:35:35, 23:44:10, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3788
03:37:05, 23:45:40, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3780
03:38:35, 23:47:10, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3796
04:00:04, 00:08:39, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3776
04:02:34, 00:11:09, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3767
04:04:04, 00:12:39, Battery: level = 45, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3763
04:05:34, 00:14:09, Battery: level = 44, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3762
04:14:33, 00:23:08, Battery: level = 43, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3750
04:16:03, 00:24:38, Battery: level = 42, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3749
04:19:03, 00:27:38, Battery: level = 41, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3769
04:24:02, 00:32:38, Battery: level = 40, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3767
04:40:01, 00:48:37, Battery: level = 39, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3759
04:43:31, 00:52:06, Battery: level = 38, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3764
05:03:00, 01:11:35, Battery: level = 37, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3753
05:04:30, 01:13:05, Battery: level = 36, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3756
05:06:00, 01:14:35, Battery: level = 35, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3734
05:07:30, 01:16:05, Battery: level = 34, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3737
05:09:00, 01:17:35, Battery: level = 33, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3733
05:11:00, 01:19:35, Battery: level = 32, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3763
05:28:59, 01:37:34, Battery: level = 31, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3711
05:30:28, 01:39:04, Battery: level = 30, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3711
05:31:58, 01:40:33, Battery: level = 29, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3721
05:46:27, 01:55:03, Battery: level = 28, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3730
05:54:27, 02:03:02, Battery: level = 27, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3720
05:56:27, 02:05:02, Battery: level = 26, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3720
06:07:26, 02:16:01, Battery: level = 25, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3716
06:31:55, 02:40:30, Battery: level = 24, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3726
06:45:54, 02:54:29, Battery: level = 23, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3711
08:19:19, 04:27:54, Battery: level = 22, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3706
08:21:18, 04:29:54, Battery: level = 21, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3706
08:33:18, 04:41:53, Battery: level = 20, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3706
08:35:18, 04:43:53, Battery: level = 19, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3714
08:45:17, 04:53:52, Battery: level = 18, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3705
08:53:46, 05:02:22, Battery: level = 17, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3701
09:15:45, 05:24:20, Battery: level = 16, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3677
09:17:15, 05:25:50, Battery: level = 15, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3673
09:30:44, 05:39:19, Battery: level = 14, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3668
09:31:44, 05:40:19, Battery: level = 13, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3702
09:41:14, 05:49:49, Battery: level = 12, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3658
09:55:13, 06:03:48, Battery: level = 11, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3667
09:58:13, 06:06:48, Battery: level = 10, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3644
09:59:43, 06:08:18, Battery: level = 9, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3642
10:01:13, 06:09:48, Battery: level = 8, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3637
10:02:43, 06:11:18, Battery: level = 7, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3653
10:16:42, 06:25:17, Battery: level = 6, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3653
10:19:41, 06:28:17, Battery: level = 5, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3651
10:23:11, 06:31:47, Battery: level = 4, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3645
10:36:11, 06:44:46, Battery: level = 3, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3647
10:44:10, 06:52:45, Battery: level = 2, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3644
10:46:16, 06:54:51, Battery: level = 2, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3642
10:46:17, 06:54:52, Battery: level = 2, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3695
