05:02:24, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:02:25, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:07:10, 00:23:D4:6A:F5:43, GARBAGE, true
05:14:01, 00:23:D4:6A:F5:43, GARBAGE, true
05:18:34, 00:23:D4:6A:F5:43, GARBAGE, true
05:27:49, 00:23:D4:6A:F5:43, GARBAGE, true
05:37:16, 00:23:D4:6A:F5:43, GARBAGE, true
05:41:58, 00:23:D4:6A:F5:43, GARBAGE, true
05:46:36, 00:23:D4:6A:F5:43, GARBAGE, true
05:50:49, 00:23:D4:6A:F5:43, 192.168.1.7, true
05:50:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:50:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:50:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:51:32, 00:23:D4:6A:F5:43, 192.168.1.5, true
05:51:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:51:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:51:32, 00:23:D4:6A:F5:43, GARBAGE IP, true
05:57:54, 00:23:D4:6A:F5:43, GARBAGE, true
06:00:07, 00:23:D4:6A:F5:43, 192.168.1.6, true
06:00:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:07, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:49, 00:23:D4:6A:F5:43, 192.168.1.6, true
06:00:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:00:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:01:31, 00:23:D4:6A:F5:43, 192.168.1.6, true
06:01:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:01:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:01:31, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:12, 00:23:D4:6A:F5:43, 192.168.1.5, true
06:02:12, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:12, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:12, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:12, 00:23:D4:6A:F5:43, 192.168.1.6, true
06:02:12, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:12, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:54, 00:23:D4:6A:F5:43, 192.168.1.5, true
06:02:54, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:54, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:02:54, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:03:35, 00:23:D4:6A:F5:43, 192.168.1.5, true
06:03:35, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:03:35, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:03:36, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:04:56, 00:23:D4:6A:F5:43, GARBAGE, true
06:07:11, 00:23:D4:6A:F5:43, GARBAGE, true
06:14:01, 00:23:D4:6A:F5:43, GARBAGE, true
06:24:06, 00:23:D4:6A:F5:43, GARBAGE, true
06:26:22, 00:23:D4:6A:F5:43, 192.168.1.11, true
06:26:22, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:26:22, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:33:18, 00:23:D4:6A:F5:43, GARBAGE, true
06:36:13, 00:23:D4:6A:F5:43, 192.168.1.5, true
06:36:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:36:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:36:13, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:36:55, 00:23:D4:6A:F5:43, 192.168.1.5, true
06:36:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:36:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:36:55, 00:23:D4:6A:F5:43, GARBAGE IP, true
06:40:07, 00:23:D4:6A:F5:43, GARBAGE, true
06:44:43, 00:23:D4:6A:F5:43, GARBAGE, true
06:49:13, 00:23:D4:6A:F5:43, GARBAGE, true
06:58:29, 00:23:D4:6A:F5:43, GARBAGE, true
07:02:59, 00:23:D4:6A:F5:43, GARBAGE, true
07:12:18, 00:23:D4:6A:F5:43, GARBAGE, true
07:21:30, 00:23:D4:6A:F5:43, GARBAGE, true
07:26:01, 00:23:D4:6A:F5:43, GARBAGE, true
07:30:44, 00:23:D4:6A:F5:43, GARBAGE, true
07:35:15, 00:23:D4:6A:F5:43, GARBAGE, true
07:49:33, 00:23:D4:6A:F5:43, 192.168.1.4, true
07:49:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:49:33, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:50:15, 00:23:D4:6A:F5:43, 192.168.1.4, true
07:50:15, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:50:15, 00:23:D4:6A:F5:43, GARBAGE IP, true
07:53:45, 00:23:D4:6A:F5:43, GARBAGE, true
07:55:57, 00:23:D4:6A:F5:43, GARBAGE, true
08:04:59, 00:23:D4:6A:F5:43, GARBAGE, true
08:08:35, 00:23:D4:6A:F5:43, 192.168.1.7, true
08:08:35, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:08:35, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:08:35, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:09:59, 00:23:D4:6A:F5:43, 192.168.1.7, true
08:09:59, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:09:59, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:09:59, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:10:41, 00:23:D4:6A:F5:43, 192.168.1.7, true
08:10:41, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:10:41, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:10:41, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:11:44, 00:23:D4:6A:F5:43, GARBAGE, true
08:14:16, 00:23:D4:6A:F5:43, GARBAGE, true
08:23:23, 00:23:D4:6A:F5:43, GARBAGE, true
08:28:13, 00:23:D4:6A:F5:43, GARBAGE, true
08:37:24, 00:23:D4:6A:F5:43, GARBAGE, true
08:49:14, 00:23:D4:6A:F5:43, 192.168.1.11, true
08:49:14, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:49:15, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:49:15, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:49:56, 00:23:D4:6A:F5:43, 192.168.1.11, true
08:49:56, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:49:56, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:49:57, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:49:57, 00:23:D4:6A:F5:43, 192.168.1.9, true
08:49:57, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:49:57, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:49:57, 00:23:D4:6A:F5:43, GARBAGE IP, true
08:53:30, 00:23:D4:6A:F5:43, GARBAGE, true
08:58:01, 00:23:D4:6A:F5:43, GARBAGE, true
09:02:15, 00:23:D4:6A:F5:43, 192.168.1.8, true
09:02:15, 00:23:D4:6A:F5:43, GARBAGE IP, true
09:02:15, 00:23:D4:6A:F5:43, GARBAGE IP, true
09:02:15, 00:23:D4:6A:F5:43, GARBAGE IP, true
09:02:58, 00:23:D4:6A:F5:43, 192.168.1.8, true
09:02:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
09:02:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
09:02:58, 00:23:D4:6A:F5:43, GARBAGE IP, true
09:04:54, 00:23:D4:6A:F5:43, GARBAGE, true
09:07:16, 00:23:D4:6A:F5:43, GARBAGE, true
09:14:06, 00:23:D4:6A:F5:43, GARBAGE, true
09:16:22, 00:23:D4:6A:F5:43, GARBAGE, true
09:18:44, 00:23:D4:6A:F5:43, GARBAGE, true
09:27:52, 00:23:D4:6A:F5:43, GARBAGE, true
09:37:47, 00:23:D4:6A:F5:43, GARBAGE, true
09:49:40, 00:23:D4:6A:F5:43, GARBAGE, true
09:58:41, 00:23:D4:6A:F5:43, GARBAGE, true
10:13:31, 00:23:D4:6A:F5:43, GARBAGE, true
10:13:49, 00:23:D4:6A:F5:43, 192.168.1.4, true
10:13:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:13:49, 00:23:D4:6A:F5:43, GARBAGE IP, true
10:23:09, 00:23:D4:6A:F5:43, GARBAGE, true
10:32:31, 00:23:D4:6A:F5:43, GARBAGE, true
10:37:07, 00:23:D4:6A:F5:43, GARBAGE, true
10:46:15, 00:23:D4:6A:F5:43, GARBAGE, true
