07:06:12, 00:23:D4:6A:B6:B9, 192.168.1.8, true
07:06:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:06:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:06:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
07:12:28, 00:23:D4:6A:B6:B9, GARBAGE, true
07:17:00, 00:23:D4:6A:B6:B9, GARBAGE, true
07:21:34, 00:23:D4:6A:B6:B9, GARBAGE, true
07:30:58, 00:23:D4:6A:B6:B9, GARBAGE, true
07:36:05, 00:23:D4:6A:B6:B9, GARBAGE, true
07:40:11, 00:23:D4:6A:B6:B9, GARBAGE, true
07:51:26, 00:23:D4:6A:B6:B9, GARBAGE, true
08:00:59, 00:23:D4:6A:B6:B9, GARBAGE, true
08:05:36, 00:23:D4:6A:B6:B9, GARBAGE, true
08:14:49, 00:23:D4:6A:B6:B9, GARBAGE, true
08:19:25, 00:23:D4:6A:B6:B9, GARBAGE, true
08:29:06, 00:23:D4:6A:B6:B9, 192.168.1.5, true
08:29:06, 00:23:D4:6A:B6:B9, GARBAGE IP, true
08:29:06, 00:23:D4:6A:B6:B9, GARBAGE IP, true
08:30:47, 00:23:D4:6A:B6:B9, GARBAGE, true
08:40:02, 00:23:D4:6A:B6:B9, GARBAGE, true
08:42:11, 00:23:D4:6A:B6:B9, GARBAGE, true
08:46:50, 00:23:D4:6A:B6:B9, GARBAGE, true
08:56:30, 00:23:D4:6A:B6:B9, GARBAGE, true
09:01:25, 00:23:D4:6A:B6:B9, 192.168.1.1, true
09:01:25, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:01:25, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:05:34, 00:23:D4:6A:B6:B9, GARBAGE, true
09:10:13, 00:23:D4:6A:B6:B9, GARBAGE, true
09:13:50, 00:23:D4:6A:B6:B9, 192.168.1.1, true
09:13:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:13:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:13:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:14:33, 00:23:D4:6A:B6:B9, 192.168.1.1, true
09:14:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:14:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:15:16, 00:23:D4:6A:B6:B9, 192.168.1.1, true
09:15:16, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:15:16, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:19:37, 00:23:D4:6A:B6:B9, GARBAGE, true
09:28:33, 00:23:D4:6A:B6:B9, 192.168.1.1, true
09:28:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:28:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:28:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:35:33, 00:23:D4:6A:B6:B9, GARBAGE, true
09:42:31, 00:23:D4:6A:B6:B9, GARBAGE, true
09:45:25, 00:23:D4:6A:B6:B9, 192.168.1.2, true
09:45:25, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:56:40, 00:23:D4:6A:B6:B9, GARBAGE, true
09:59:32, 00:23:D4:6A:B6:B9, 192.168.1.11, true
09:59:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:59:32, 00:23:D4:6A:B6:B9, GARBAGE IP, true
09:59:33, 00:23:D4:6A:B6:B9, GARBAGE IP, true
10:00:14, 00:23:D4:6A:B6:B9, 192.168.1.11, true
10:00:14, 00:23:D4:6A:B6:B9, GARBAGE IP, true
10:00:14, 00:23:D4:6A:B6:B9, GARBAGE IP, true
10:00:14, 00:23:D4:6A:B6:B9, GARBAGE IP, true
10:05:45, 00:23:D4:6A:B6:B9, GARBAGE, true
10:08:05, 00:23:D4:6A:B6:B9, GARBAGE, true
10:10:21, 00:23:D4:6A:B6:B9, GARBAGE, true
10:14:55, 00:23:D4:6A:B6:B9, GARBAGE, true
10:19:35, 00:23:D4:6A:B6:B9, GARBAGE, true
10:28:50, 00:23:D4:6A:B6:B9, GARBAGE, true
10:31:46, 00:23:D4:6A:B6:B9, 192.168.1.8, true
10:31:46, 00:23:D4:6A:B6:B9, GARBAGE IP, true
10:31:46, 00:23:D4:6A:B6:B9, GARBAGE IP, true
10:31:46, 00:23:D4:6A:B6:B9, GARBAGE IP, true
10:35:33, 00:23:D4:6A:B6:B9, GARBAGE, true
10:37:59, 00:23:D4:6A:B6:B9, GARBAGE, true
