21:44:57, 18:00:00, Battery: level = 99, scale = 100, status = 2, health = 2, plugged = 2, voltage = 4205
05:27:15, 01:42:18, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3859
05:30:45, 01:45:48, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3868
05:50:14, 02:05:17, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3833
05:51:43, 02:06:47, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3844
05:57:43, 02:12:46, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3845
05:59:13, 02:14:16, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3838
06:32:11, 02:47:14, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3830
06:50:40, 03:05:43, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3810
07:01:39, 03:16:43, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3814
07:05:09, 03:20:12, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3809
07:26:38, 03:41:41, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3804
07:28:08, 03:43:11, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3799
07:35:07, 03:50:11, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3792
07:45:07, 04:00:10, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3792
07:47:07, 04:02:10, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3781
08:05:36, 04:20:39, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3780
08:08:36, 04:23:39, Battery: level = 45, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3781
08:18:05, 04:33:08, Battery: level = 44, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3778
08:19:35, 04:34:38, Battery: level = 43, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3766
08:24:05, 04:39:08, Battery: level = 42, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3783
08:56:33, 05:11:36, Battery: level = 41, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3795
08:57:03, 05:12:06, Battery: level = 40, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3759
08:58:32, 05:13:36, Battery: level = 39, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3761
09:00:02, 05:15:06, Battery: level = 38, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3763
09:07:33, 05:22:36, Battery: level = 37, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3753
09:27:01, 05:42:04, Battery: level = 36, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3748
09:28:31, 05:43:34, Battery: level = 35, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3753
09:52:29, 06:07:33, Battery: level = 34, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3748
09:53:59, 06:09:03, Battery: level = 33, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3739
09:59:29, 06:14:32, Battery: level = 32, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3738
10:23:57, 06:39:01, Battery: level = 31, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3739
10:25:57, 06:41:01, Battery: level = 30, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3732
10:39:56, 06:54:59, Battery: level = 30, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3785
10:39:57, 06:55:00, Battery: level = 30, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3844
