12:04:13, 00:23:D4:6A:A4:E2, GARBAGE, true
12:07:25, 00:23:D4:6A:A4:E2, GARBAGE, true
12:11:39, 00:23:D4:6A:A4:E2, GARBAGE, true
12:11:42, 00:23:D4:6A:A4:E2, GARBAGE, true
12:15:06, 00:23:D4:6A:A4:E2, GARBAGE, true
12:17:21, 00:23:D4:6A:A4:E2, 192.168.1.5, true
12:17:21, 00:23:D4:6A:A4:E2, GARBAGE IP, true
12:25:06, 00:23:D4:6A:A4:E2, GARBAGE, true
12:28:13, 00:23:D4:6A:A4:E2, GARBAGE, true
12:30:23, 00:23:D4:6A:A4:E2, 192.168.1.4, true
12:30:24, 00:23:D4:6A:A4:E2, GARBAGE IP, true
12:37:48, 00:23:D4:6A:A4:E2, GARBAGE, true
12:39:54, 00:23:D4:6A:A4:E2, 192.168.1.5, true
12:39:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
12:39:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
12:47:20, 00:23:D4:6A:A4:E2, GARBAGE, true
12:47:48, 00:23:D4:6A:A4:E2, GARBAGE, true
12:52:19, 00:23:D4:6A:A4:E2, GARBAGE, true
12:54:46, 00:23:D4:6A:A4:E2, GARBAGE, true
12:55:25, 00:23:D4:6A:A4:E2, GARBAGE, true
13:00:58, 00:23:D4:6A:A4:E2, GARBAGE, true
13:01:43, 00:23:D4:6A:A4:E2, 192.168.1.1, true
13:01:43, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:01:43, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:10:23, 00:23:D4:6A:A4:E2, GARBAGE, true
13:10:50, 00:23:D4:6A:A4:E2, GARBAGE, true
13:15:04, 00:23:D4:6A:A4:E2, 192.168.1.11, true
13:15:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:15:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:15:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:15:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:15:23, 00:23:D4:6A:A4:E2, GARBAGE, true
13:17:48, 00:23:D4:6A:A4:E2, 192.168.1.4, true
13:17:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:17:48, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:25:20, 00:23:D4:6A:A4:E2, GARBAGE, true
13:26:31, 00:23:D4:6A:A4:E2, GARBAGE, true
13:29:43, 00:23:D4:6A:A4:E2, GARBAGE, true
13:32:19, 00:23:D4:6A:A4:E2, GARBAGE, true
13:35:08, 00:23:D4:6A:A4:E2, 192.168.1.7, true
13:35:08, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:35:08, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:35:08, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:35:08, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:35:50, 00:23:D4:6A:A4:E2, 192.168.1.7, true
13:35:50, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:35:50, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:35:50, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:35:50, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:37:53, 00:23:D4:6A:A4:E2, GARBAGE, true
13:41:01, 00:23:D4:6A:A4:E2, GARBAGE, true
13:43:11, 00:23:D4:6A:A4:E2, 192.168.1.4, true
13:43:12, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:43:12, 00:23:D4:6A:A4:E2, GARBAGE IP, true
13:50:35, 00:23:D4:6A:A4:E2, GARBAGE, true
13:50:58, 00:23:D4:6A:A4:E2, GARBAGE, true
14:02:30, 00:23:D4:6A:A4:E2, GARBAGE, true
14:02:40, 00:23:D4:6A:A4:E2, GARBAGE, true
14:07:23, 00:23:D4:6A:A4:E2, GARBAGE, true
14:11:16, 00:23:D4:6A:A4:E2, GARBAGE, true
14:11:52, 00:23:D4:6A:A4:E2, GARBAGE, true
14:13:47, 00:23:D4:6A:A4:E2, GARBAGE, true
14:15:54, 00:23:D4:6A:A4:E2, 192.168.1.1, true
14:15:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
14:15:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
14:23:18, 00:23:D4:6A:A4:E2, GARBAGE, true
14:23:39, 00:23:D4:6A:A4:E2, GARBAGE, true
14:24:58, 00:23:D4:6A:A4:E2, GARBAGE, true
14:28:00, 00:23:D4:6A:A4:E2, GARBAGE, true
14:35:28, 00:23:D4:6A:A4:E2, GARBAGE, true
14:38:32, 00:23:D4:6A:A4:E2, GARBAGE, true
14:41:24, 00:23:D4:6A:A4:E2, 192.168.1.8, true
14:41:24, 00:23:D4:6A:A4:E2, GARBAGE IP, true
14:41:24, 00:23:D4:6A:A4:E2, GARBAGE IP, true
14:41:24, 00:23:D4:6A:A4:E2, GARBAGE IP, true
14:42:04, 00:23:D4:6A:A4:E2, 192.168.1.8, true
14:42:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
14:42:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
14:42:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
14:43:05, 00:23:D4:6A:A4:E2, GARBAGE, true
14:43:13, 00:23:D4:6A:A4:E2, GARBAGE, true
14:45:43, 00:23:D4:6A:A4:E2, GARBAGE, true
14:52:55, 00:23:D4:6A:A4:E2, GARBAGE, true
14:56:02, 00:23:D4:6A:A4:E2, GARBAGE, true
15:00:36, 00:23:D4:6A:A4:E2, GARBAGE, true
15:00:39, 00:23:D4:6A:A4:E2, GARBAGE, true
15:02:14, 00:23:D4:6A:A4:E2, GARBAGE, true
15:08:51, 00:23:D4:6A:A4:E2, GARBAGE, true
15:13:13, 00:23:D4:6A:A4:E2, 192.168.1.8, true
15:13:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:13:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:13:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:13:13, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:13:55, 00:23:D4:6A:A4:E2, 192.168.1.8, true
15:13:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:13:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:13:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:13:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:15:57, 00:23:D4:6A:A4:E2, GARBAGE, true
15:16:07, 00:23:D4:6A:A4:E2, GARBAGE, true
15:18:17, 00:23:D4:6A:A4:E2, 192.168.1.1, true
15:18:17, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:18:17, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:25:31, 00:23:D4:6A:A4:E2, GARBAGE, true
15:26:01, 00:23:D4:6A:A4:E2, GARBAGE, true
15:30:42, 00:23:D4:6A:A4:E2, GARBAGE, true
15:38:05, 00:23:D4:6A:A4:E2, GARBAGE, true
15:41:21, 00:23:D4:6A:A4:E2, GARBAGE, true
15:48:42, 00:23:D4:6A:A4:E2, GARBAGE, true
15:51:54, 00:23:D4:6A:A4:E2, GARBAGE, true
15:54:45, 00:23:D4:6A:A4:E2, 192.168.1.4, true
15:54:45, 00:23:D4:6A:A4:E2, GARBAGE IP, true
15:54:45, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:01:29, 00:23:D4:6A:A4:E2, GARBAGE, true
16:01:54, 00:23:D4:6A:A4:E2, GARBAGE, true
16:03:19, 00:23:D4:6A:A4:E2, GARBAGE, true
16:06:27, 00:23:D4:6A:A4:E2, GARBAGE, true
16:16:20, 00:23:D4:6A:A4:E2, GARBAGE, true
16:16:24, 00:23:D4:6A:A4:E2, GARBAGE, true
16:20:58, 00:23:D4:6A:A4:E2, GARBAGE, true
16:24:04, 00:23:D4:6A:A4:E2, 192.168.1.7, true
16:24:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:24:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:24:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:24:04, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:24:46, 00:23:D4:6A:A4:E2, 192.168.1.7, true
16:24:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:24:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:24:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:24:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:25:27, 00:23:D4:6A:A4:E2, GARBAGE, true
16:25:28, 00:23:D4:6A:A4:E2, 192.168.1.7, true
16:25:28, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:25:28, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:25:28, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:25:28, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:26:10, 00:23:D4:6A:A4:E2, 192.168.1.7, true
16:26:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:26:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:26:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:26:10, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:33:05, 00:23:D4:6A:A4:E2, GARBAGE, true
16:37:48, 00:23:D4:6A:A4:E2, GARBAGE, true
16:42:16, 00:23:D4:6A:A4:E2, GARBAGE, true
16:46:49, 00:23:D4:6A:A4:E2, GARBAGE, true
16:50:30, 00:23:D4:6A:A4:E2, 192.168.1.9, true
16:50:30, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:50:30, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:50:30, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:50:30, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:51:12, 00:23:D4:6A:A4:E2, 192.168.1.9, true
16:51:12, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:51:12, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:51:12, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:51:12, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:51:54, 00:23:D4:6A:A4:E2, 192.168.1.9, true
16:51:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:51:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:51:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:51:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:52:36, 00:23:D4:6A:A4:E2, 192.168.1.9, true
16:52:36, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:52:36, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:52:36, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:52:36, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:54:36, 00:23:D4:6A:A4:E2, GARBAGE, true
16:58:16, 00:23:D4:6A:A4:E2, 192.168.1.11, true
16:58:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:58:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:58:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:58:16, 00:23:D4:6A:A4:E2, GARBAGE IP, true
16:59:14, 00:23:D4:6A:A4:E2, GARBAGE, true
17:02:45, 00:23:D4:6A:A4:E2, 192.168.1.9, true
17:02:45, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:02:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:02:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:02:46, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:03:47, 00:23:D4:6A:A4:E2, GARBAGE, true
17:07:36, 00:23:D4:6A:A4:E2, 192.168.1.12, true
17:07:36, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:07:36, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:07:36, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:07:36, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:08:18, 00:23:D4:6A:A4:E2, 192.168.1.12, true
17:08:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:08:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:08:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:08:18, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:11:42, 00:23:D4:6A:A4:E2, GARBAGE, true
17:16:20, 00:23:D4:6A:A4:E2, GARBAGE, true
17:20:47, 00:23:D4:6A:A4:E2, GARBAGE, true
17:23:07, 00:23:D4:6A:A4:E2, 192.168.1.1, true
17:23:07, 00:23:D4:6A:A4:E2, GARBAGE IP, true
17:30:39, 00:23:D4:6A:A4:E2, GARBAGE, true
17:35:14, 00:23:D4:6A:A4:E2, GARBAGE, true
17:39:47, 00:23:D4:6A:A4:E2, GARBAGE, true
17:44:20, 00:23:D4:6A:A4:E2, GARBAGE, true
18:21:53, 00:23:D4:6A:A4:E2, 192.168.1.8, true
18:21:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:21:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:21:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:21:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:25:56, 00:23:D4:6A:A4:E2, 192.168.1.12, true
18:25:56, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:25:56, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:25:56, 00:23:D4:6A:A4:E2, GARBAGE IP, true
18:25:56, 00:23:D4:6A:A4:E2, GARBAGE IP, true
